"corpus","preloaded/sibol_corpus"
"subcorpus","###6156604904017581684###"
Item,Frequency
"risk",58928
"industry",35920
"war",34451
"security",31355
"industrial",7933
"nuclear",7427
"industries",4802
"wars",4293
"corruption",4155
"resilience",3971
"reliable",3173
"stability",3140
"consistency",2375
"risky",2257
"conflicts",1370
"reliability",633
"blackout",591
"blackouts",410
"intermittent",365
"nationalisation",192
"corrupted",159
"geopolitics",143
"adequacy",130
"nationalising",64
"neoliberalism",52
