Num,ID,Sustainability,Security,Accessibility
1,COP22_UK342,10,2,7
2,COP25_UK248,10,2,10
3,COP23_UK176,0,0,0
4,COP21_UK269,9,5,3
5,COP25_UK6,10,0,4
6,COP22_UK391,10,0,0
7,COP22_UK338,10,2,6
8,COP21_UK305,10,4,10
9,COP25_UK284,10,8,9
10,COP22_UK100,3,0,0
11,COP22_UK152,10,1,10
12,COP23_UK171,3,1,2
13,COP23_UK79,0,0,0
14,COP22_UK326,3,0,2
15,COP25_UK351,5,0,0
16,COP23_UK80,6,0,0
17,COP24_UK284,7,1,1
18,COP24_UK278,8,0,1
19,COP23_UK183,9,0,8
20,COP23_UK38,5,0,0
21,COP21_UK40,10,0,0
22,COP26_UK150,0,0,0
23,COP21_UK331,1,0,1
24,COP22_UK297,5,1,1
25,COP25_UK2,0,1,3
26,COP26_UK190,3,0,0
27,COP26_UK299,7,0,0
28,COP21_UK85,8,1,6
29,COP26_UK181,0,0,0
30,COP21_UK44,0,0,0
31,COP26_UK146,8,0,0
32,COP23_UK191,1,0,0
33,COP22_UK294,7,3,7
34,COP22_UK148,10,10,10
35,COP23_UK179,10,6,10
36,COP22_UK16,6,2,6
37,COP23_UK133,0,0,0
38,COP24_UK244,10,10,6
39,COP21_UK188,1,0,0
40,COP25_UK136,4,0,0
