"","COP","country","accessibility","security","sustainability","beforeAcc","duringAcc","afterAcc","beforeSec","duringSec","afterSec","beforeSus","duringSus","afterSus","docs","totalWords"
"1","ALL","Australia",3041.21128482863,2909.70761595185,11130.9542253867,0,0,0,0,0,0,0,0,0,1423,1323157
"2","ALL","Bangladesh",3930.50390257139,5054.45510313749,13258.633807388,0,0,0,0,0,0,0,0,0,1149,751812
"3","ALL","Canada",1852.32035861532,3194.83943802355,11870.3604587449,0,0,0,0,0,0,0,0,0,1407,786581
"4","ALL","China",3851.29963057876,5242.45348953307,14563.8499683829,0,0,0,0,0,0,0,0,0,1447,751175
"5","ALL","Hong.Kong",2544.00053912594,3757.0339087754,15673.9635865353,0,0,0,0,0,0,0,0,0,168,178066
"6","ALL","India",4315.80109372407,6160.70856080692,17189.8311291614,0,0,0,0,0,0,0,0,0,3040,1512813
"7","ALL","Ireland",1636.59527054531,3305.14443856307,10957.408233269,0,0,0,0,0,0,0,0,0,1242,719787
"8","ALL","Nigeria",4954.13815914774,4959.77298416952,12777.5292193851,0,0,0,0,0,0,0,0,0,1295,887339
"9","ALL","South.Africa",4267.16837607098,4747.16139435435,14850.3548193633,0,0,0,0,0,0,0,0,0,1423,985431
"10","ALL","UAE",4000.03040884695,4541.05447744931,18345.403956191,0,0,0,0,0,0,0,0,0,1176,789244
"11","ALL","UK",3615.57912721189,5068.90683828215,13998.3433428721,0,0,0,0,0,0,0,0,0,2521,1465602
"12","ALL","USA",3162.11006583331,5646.9678565651,13739.0357792103,0,0,0,0,0,0,0,0,0,2287,1458836
