"COP","country","ID","title","date","source","text"
"COP21","China","COP21_China1","Pre-COP21 informal ministerial consultation enters 2nd day","November 9, 2015 Monday 6:33 AM EST","Xinhua General News Service","As the Pre-COP21 informal ministerial consultation enters its 2nd day, the ministers and representatives from 70 countries will start four parallel working groups to ensure the success of the coming COP21 in Paris. The participants will start four working groups this Monday to work on specific issues, including Equity and Differentiation, Ambition, Pre-2020 Action and Support, and Post-2020 Finance. All the conclusions will be presented on Tuesday, the last day of this informal ministerial consultation. According to the organizer, the purpose of this pre-COP21 is not to negotiate the Ad Hoc Working Group on the Durban Platform for Enhanced Action (ADP), but rather to ""provide the necessary political guidance to the ADP negotiating process and to come up with proposals for common ground on some of the key political issues that remain open"". Representatives from more than 70 countries, along with Christiana Figueres, executive secretary of the UN Framework Convention on Climate Change (UNFCCC), have accepted the invitation of French Foreign Minister Laurent Fabius and Peruvian Environment Minister Manuel Pulgar-Vidal to gether in Paris to prepare for the upcoming COP21. . The 2015 United Nations () will take place from Nov. 30 to Dec. 11 in Paris, with the objective is to achieve a legally binding and universal agreement on climate change. \l"
"COP21","China","COP21_China2","IOM welcomes inclusion of ""climate migration"" into draft COP21 agreement","December 11, 2015 Friday 11:32 AM EST","Xinhua General News Service","The International Organization for Migrants (IOM) on Friday welcomed the inclusion of ""climate migrants"" and ""climate migration"" in the text expected to be agreed as part of the Paris climate change agreement. In a statement issued Friday, IOM said that the inclusion of specific language highlighting the importance of ""promoting, protecting and respecting the rights of migrants in vulnerable climate situations"" is viewed as a significant breakthrough by those concerned with human mobility in all its forms. ""Now that climate change and migration are an integral part of the draft agreement, we can justifiably speak of 'climate migration' and 'climate migrants,'"" said IOM Director General William Lacy Swing. The 2015 United Nations Climate Change Conference (COP 21\l"
"COP21","China","COP21_China3","China vows constructive role in Paris climate talks","December 3, 2015 Thursday 10:47 AM EST","Xinhua General News Service","China vows to continue to play a constructive role in the Paris climate talks, said China's special representative on climate change Xie Zhenhua to media here at the COP21 on Thursday. China backs a ""comprehensive, balanced and strong"" agreement on curbing climate change at the COP21 He said China expects the Paris climate agreement to be legally binding. China highly appreciated the INDCs (""Intended Nationally Determined Contribution"") submitted to the UNFCCC (UN Framework Convention on Climate Change), which shows the determination to address climate change, said Xie. Moreover, China proposed an introduction of regular review, or evaluation system, of INDCs, so as to get a clear view of the comprehensive development, which would also be a platform to share experiences and enhance cooperation for all the parties. People walk past the slogan of 'Below 2 degrees' at the site of the 2015 United Nations (COP 21) at Le Bourget on the northern suburbs of Paris, France, Dec. 2, 2015. China also urged all the parties to accelerate the green and low-carbon transformation, said Xie. It was agreed in the 2009 Copenhagen conference that poorer nations vulnerable to global warming impacts would receive 100 billion U.S. dollars per year by 2020 to give up fossil fuels and shore up defenses against climate-driven food scarcity, heat waves and storm damage. China expected the developed countries to fulfill this commitment by 2020, and proposed that a roadmap and timel"
"COP21","China","COP21_China4","(Recast) France tightens security ahead of COP21","November 25, 2015 Wednesday 9:17 AM EST","Xinhua General News Service","Already at high terror alert, France planned to pour 8,000 policemen and gendarmes across the country to secure the national borders and ensure the safety at home where the upcoming UN conference on climate change (COP21) is scheduled for next week, a government official said on Wednesday. ""In the context of high (terror) threat,"" Interior Minister Bernard Cazeneuve announced the deployment of 8,000 policemen and gendarmes at French borders and additional 2,800 units to secure Le Bourget site which is due to host the high-profile gathering on climate change. ""The success of the COP21 also means the event's optimal security of the event. Everything is done to secure as much as possible the conference itself and the near areas,"" he said. Cazeneuve added 120,000 servicemen have been deployed across the country after the Nov. 13 attacks to guarantee the security. In the wake of the bloody wave of explosions and shooting which left 130 victims a few days ago, France canceled the ""massive marches planned in public places in Paris and other French cities on Nov. 29 and Dec. 12,"" said Foreign Minister Laurent Fabius, who also will chair the COP21 conference. However, all the demonstrations organized in closed spaces or in places where security can easily be ensured would be maintained, he added in a recent statement. At the summit, 147 top officials and heads of governments will participate in talks to trim global warming with about 40,000 visitors, including more than 3,000 journalists, were expected to attend the conference, according to official data. The COP21\l"
"COP21","China","COP21_China5","Hong Kong has set an 'aggressive' carbon emission reduction target, claims Environment Sec.","December 10, 2015 Thursday","Hong Kong Free Press","Hong Kong has set an  aggressive carbon emission reduction target of 50 percent to 60 percent by 2020, Secretary for Environment Wong Kam-sing claimed\~after attending the 2015 United Nations (COP21) in Paris. I understand that this week\' s Climate Change Conference is a crucial moment, and of course Hong Kong is concerned about this issue [of climate change]. I also hope that\~there would\~be a positive outcome at the conference, Wong told the media after returning from COP21 in Paris on Thursday morning.Wong at the COP 21 We discussed the work Hong Kong has done to tackle\~climate change at the\~China Pavilion, and I presented the\~Hong Kong Climate Change Report 2015 \~Hong Kong\' s current emission reduction targets are actually aggressive, with an aim\~to reduce carbon emissions by 50 to 60 percent by 2020. Wong at the summit. Photo: GovHK.At the COP21 Summit,\~Wong\~has also said that\~Hong Kong is aiming\~to become\~a low-carbon liveable city, and that there is a new target to reduce the city\' s energy intensity by 40 percent by 2025. \' Nothing new\' On Wednesday, Wong was\~criticised by an NGO delegate from Hong Kong for focusing merely on the city\' s past actions rather than speaking about future plans. All the leaders were talking about future pledges. But nothing of that sort came out of Wong, CEO of CarbonCare Asia Albert Lai told HYPERLINK http://news.rthk.hk/rthk/en/component/k2/1228561-20151209.htmRTHK.Wong refused to comment on whether the Environment Bureau will ask the two major power companies to reduce the electricity fees, saying that it will be announced in due course. Earlier, it was HYPERLINK https://hongkongfp.com/2015/12/07/power-companies-have-gathered-nearly-hk5-7-billion-by-overcharging-report/reported that\~CLP Power Hong Kong Limited (CLP) and The Hong Kong Electric Company Limited have overcharged for electricity and fuel costs to the tune of nearly HK$5.7 billion.\l"
"COP21","China","COP21_China6","690 mln children to face effects of climate change: UNICEF","November 24, 2015 Tuesday 7:17 AM EST","Xinhua General News Service","A report published by the UN's Children Fund (UNICEF) on Tuesday found that some 530 million children live in areas with extremely high flood occurrence, while 160 million live in high drought severity zones. Released ahead of the 21st United Nations climate changeconferenceCOP21) in Paris, the report showed that 300 million of the 530 million children in flood prone zones live in countries where over 50 percent of the population live in poverty (surviving on less than 3.10 U.S. dollars a day). The report said that out of the 160 million children living in drought-vulnerable areas, almost one third (50 million) reside in countries where over half of the population lives in poverty. ""The sheer numbers underl"
"COP21","China","COP21_China7","Interview: China to play leading, constructive role in upcoming COP21: WWF initiative leader","November 28, 2015 Saturday 11:02 AM EST","Xinhua General News Service","China has played and will continue to play a critical role in negotiations relating to the international political response to climate change, World Wide Fund for Nature's (WWF) Global Climate and Energy Initiative leader Samantha Smith said. Speaking in an interview with Xinhua ahead of the 21st United Nations climate change conference (COP21 Integral to China's Intended Nationally Determined Contribution (INDC), which was submitted in June this year, is the country's ambition to reduce CO2 emissions per unit of GDP by 60 to 65 percent by 2030 compared to 2005 levels. In its INDC, China also announced plans to achieve the peaking of carbon dioxide emissions around 2030, increase the share of non-fossil fuels in primary energy consumption to around 20 percent while increasing the forest stock volume by around 4.5 billion cubic meters compared to 2005 levels. China's 3.1 billion U.S. dollars support to a South-South cooperation fund, which will help developing countries combat climate change, is also considered a step in the right direction by Smith. ""China put quite big committee on the table,"" Smith added. ""From all the things we can see, China is determined to play leading and constructive role as the biggest developing country."" These actions come as countries from across the globe unite under the auspices of COP21, whose aim is to reach a legally binding, universal agreement on climate to keep global warming below 2 degrees Celsius. As NGO delegate to join in the negotiation, Smith noted ""almost all countries want some kind of agreement but what they want in the agreement has yet to be determined."" Undertakings by industrialized nations to provide funds amounting to 100 billion U.S. dollars per year by 2020 to support tangible mitigation actions by developing countries have fallen short as gaps between what is being pledged and what is being delivered come to light. The issue of post-2020 financing is also topical according to Smith, as developing nations strive to industrialize without fossil fuels, a task which requires access to reliable and long-term financial sources. In light of this, she welcomed the fact that since 2005 there has been a revolution in the energy sector together with a progressive shift from a reliance on fossil fuels to renewable energy sources. The WWF expert hailed that China has played an important role in bringing down costs in energy transformation technologies, and that renewable energy has become a top priority for policy makers in Beijing. COP21\l"
"COP21","China","COP21_China8","690 mln children live in extreme environment due to climate change: UNICEF","November 24, 2015 Tuesday 10:02 AM EST","Xinhua General News Service","Evacuated children stay in a shelter to recieve humanitarian aid, in La Plata, south of Buenos Aires, capital of Argentina, on April 3, 2013. At least 46 people died in La Plata city, as a consequence of a violent storm, while the number of evacuated people was more than 2,000. (Xinhua/Alejandro Moritz/TELAM) GENEVA, Nov. 24 (Xinhua) -- A report published by the UN's International Children's Fund (UNICEF) on Tuesday found that some 530 million children live in areas with extremely high flood occurrence, while 160 million live in high drought severity zones. Released ahead of the 21st United Nations climate changeconferenceCOP21) in Paris, the report showed that 300 million of the 530 million children in flood prone zones live in countries where over 50 percent of the population live in poverty (surviving on less than 3.10 U.S. dollars a day). Children cool off in a public fountain in downtown Sao Paulo, Brazil, on Jan. 19, 2015. The temperature here reached 37 Celsius degrees on the day. (Xinhua/Rahel Patrasso) The report said that out of the 160 million children living in drought-vulnerable areas, almost one third (50 million) reside in countries where over half of the population lives in poverty. ""The sheer numbers underl"
"COP21","China","COP21_China9","Mexico vows to reduce greenhouse gas emissions by 22 percent","November 26, 2015 Thursday 9:47 PM EST","Xinhua General News Service","Mexico is ready to combat climate change by reducing greenhouse gas emissions by 22 percent, among other measures, Mexican authorities said Thursday just days ahead of the United Nations (COP21) in Paris. Presidential spokesperson Eduardo Sanchez, Environment Minister Rafael Pacchiano and Deputy Foreign Minister Miguel Ruiz gave a press conference to reveal the measures Mexico will present at the COP21. According to Pacchiano, Mexico will pledge to lower its deforestation rate to 0 percent by 2030, and will host a roundtable to discuss how to reduce black carbon emissions by 51 percent. Pacchiano said that climate change had already hurt Mexico, affecting 2.5 million people to date. During COP21, Mexico will also table proposals on establishing monitoring mechanisms, allowing targets to be revised every five years and encouraging developed countries to contribute 100 billion U.S. dollars more every year to fight climate change starting in 2020, Pacchiano added. Sanchez said that Mexico recognizes the crucial importance of this conference, whose results will be fundamental for the future of the planet. He added said Mexico is highly vulnerable to climate change due to its geographical position and the government has already implemented effective public policies to combat it. \l"
"COP21","China","COP21_China10","France: COP21 carbon footprint much lower than expected","April 9, 2016 Saturday 11:47 AM EST","Xinhua General News Service","The major climate conference itself, hosted by France in late 2015, served as a role model to help cut down CO2 emission during the event, the organizers has said. The 21st session of the Conference of the Parties (COP21) to the United Nations Framework Convention on Climate Change (UNFCCC), not only defined a blueprint for tackling global climate change after the year of 2020, the organization of the conference itself has also fully reflected the principles of low-carbon and sustainable development. The COP21 Greenhouse gases emission is generally considered as the fundamental cause of the global warming. With an increasing worldwide environmental awareness, organizers of some major public events, such as Olympic Games, World's Fair or FIFA World Cup, usually take various measures to help to cut down the CO2 emission and thus to reduce environmental burden. The Paris climate talks was expected to generate around 21,000 tCO2e, but 9,200 tonnes has been emitted at last, said Pierre-Henri Guignard, Secretary General in charge of the COP21's preparation and organization, on Thursday. Even though this figure is still equal to the carbon footprint of about 800 French people over a one-year period, the Paris COP 21 achieved significant progress in addressing greenhouse gases emissions, with a CO2 emissions per capita much lower than many previous COPs. Implementing efficient gas boiler, distributing free public transport cards to accredited participants, 100 percent use of recycled papers, issuing reusable cups and bottles ... are all among the measures taken that contributed to the success of this green and low carbon event. In terms of waste recycling, the organizer said that 94 percent of the 16,000 tonnes of materials used in building the venues have been reused. France is also committed to offsetting these emissions by providing 100,000 euros to finance environmental projects in countries from Asia, Africa or South America, said Guignard. From Nov. 30 to Dec. 12 2015, Paris climate talks has brought together some 35,000 accredited participants, including delegates, negotiators, experts and media reporters from more than 190 countries, with another 32,000 persons non-accredited in the Climate Generations area. \l"
