"COP","country","ID","title","date","source","text"
"COP23","Australia","COP23_Australia1","Conversations","November 14, 2017 Tuesday","Mornington Peninsula Leader (Australia)","HOT TOPIC Shire 'junket' anger RE: Council CEO embarks on ratepayer-funded 20-day Europe trip(Mornington Peninsula Leader, October 24): No COUNCILLOR or council employee should ever get an overseas holiday paid for by ratepayers. Study tours, networking, learning, are all a lot of rot. Elected councillors, often one term, are all there to do a very simple part-time job.The $16,000 expense account should be reduced to zero.This is the insignificant Mornington Peninsula Shire, not New York City. It is my hard-earned money being exploited.Brian a. Mitchelson, MorningtonIt IS not ratepayers' money. It is in fact Mr Cowie's money, as it formed part of his salary package, negotiated with councillors.There is a history of such trips bringing information that has directly influenced shire policy and outcomes, more than justifying the trip expenses.The programs at events such as COP 23 (an annual United Nations climate change conference) deliver far more than any internet search would provide.Talking one-on-one with like-minded people from around the world is invaluable. The Nepean Ratepayers Association, which represents ratepayers in the Nepean Ward, commends Mr Cowie travelling to the COP 23 conference in Bonn.With his experience running commercial businesses he will definitely bring back some fresh ideas which will benefit ratepayers all over the shire.colin watson, Nepean Ratepayers AssociationAdi came to us three years ago, after five years as a puppy farm breeder. She was very traumatised by her early life, and it has taken us years to bring her out of her shell, but she still has some issues with people and loud noises.We live in Nunawading, and went down to Rosebud for a few days for a holiday. On November 3 we went to the Woolworths on Nepean Rd, where an aggressive German shepherd was barking in the back seat of a parked car.Adi was getting freaked out and when the aggressive dog went off she jerked out of her collar and ran. She made it safely through the carpark and across Point Nepean Rd (somehow) and disappeared in to the foreshore scrub.We searched for nearly 12 hours but, given her history, suspected she would be in deep hiding. After 19 hours (at 4.15am), Adi turned up at the front door, a bit cold and wet, but otherwise OK. We want to thank all the people who helped us in that time - especially the couple shopping at Woolworths. He helped Mum and Oli get home, while she raced across the road to help look and then they later got in their car to look further afield. Thanks also to the Woolworths employee who took off after Adi and followed her to the foreshore; Shelley, who posted a photo and missing notice on the 'Reuniting Lost and Found Pets - Mornington Peninsula' Facebook group; Emma from Kaya's Mission Traralgon (who rescued Adi three and a half years ago), who posted on the 'Kaya's Mission' Facebook page and paid to promote it for the Mornington Peninsula area. Thanks to the many people we encountered along the foreshore during our search - what a friendly, caring community!And Whitehorse Veterinary Hospital in Blackburn, who have been with us right through Adi's journey, and squeezed her in for a thorough check-up after her ordeal.Nicole Ackland, Nunawading\l"
"COP23","Australia","COP23_Australia2","Almost the population of Australia forced from homes annually by extreme weather - OxfamAn average of 21.8 million people were forced from their homes each year....","November 2, 2017 Thursday 7:06 AM AEST","MediaNet Press Release Wire","Oxfam Australia's climate change policy advisor Simon Bradshaw said the impact on the world's most vulnerable communities was even more severe when accounting for drought, sea-level rise and other 'slow-onset' events.""For many, including Torres Strait Islanders and Aboriginal communities in Australia's far north, and the Pacific atoll nations of Kiribati, Tuvalu and the Marshall Islands, climate change is a fight for survival.The United Nation's climate conference, COP 23, kicks off on Monday, 6 November, in Bonn, Germany. The conference will be chaired by Fiji, the first small island nation to do so, and a country on the frontl"
"COP23","Australia","COP23_Australia3","FILM","August 16, 2017 Wednesday","Brisbane News (Australia)","AN INCONVENIENT SEQUEL: TRUTH to POWER (PG) hhhkDirectors: Directors:Bonni Cohen, Jon Shenk Starring:Al Gore Running time:98 minutes More than a decade after Al Gore galvanised popular opinion on climate change in the strangely compelling documentary about his travelling slide show, he's back.While the message hasn't changed, the former US vice president's delivery has. There are times, in the sequel to An Inconvenient Truth, when he appears bruised and battle weary.""If I said there weren't times where this felt like a personal failure on my part, I'd be lying,"" he says in relation to the glacial pace of change.In Greenland, Gore walks over a melting ice cap. In Miami, he inspects submerged streets.The filmmakers also revisit a controversial prediction in the original film that a combination of sea-level rise and storm surge would flood the 9/11 memorial site, cutting to news footage of Hurricane Sandy doing exactly that in 2012.Gore works overtime, however, to balance what is shocking doomsday science with messages of hope and examples of practical optimism.In one segment, he visits Georgetown, Texas, a city that is powered by 90 per cent renewable energy.In the second half of the film there's a narrative arc, of sorts, that plays out against the backdrop of the 2015 Climate Change conference in Paris, where the filmmakers suggest Gore played a pivotal role in getting a hard-fought-for accord across the l"
"COP23","Australia","COP23_Australia4","Partnership launched","July 21, 2017 Friday","Yass Tribune","The Yass Valley Council was one of the councils represented at the launch of the Cities Power Partnership in Canberra on Wednesday.Deputy Mayor Kim Turner took part on behalf of Yass Valley, and believes that it is crucial that local councils are the leaders in clean energy.""As far as I'm concerned, it's council's role basically to set the pace for the community,"" Cr Turner said.""If council doesn't show the example in the first place, you can't really expect private individuals to follow.""We have an opportunity in Yass, we've got an opportunity to look at certainly reducing our power costs through solar on the council chambers or the government buildings.""It would be very nice to encourage some of the businesses in town to take it up too.""We've got solar providers in town, the cost of batteries is coming down. I think it's the way of the future.""The Partnership, created by the Climate Council, seeks to fast-forward Australia's plans to cut down on emissions by placing the onus on local councils instead of waiting for the Federal Government to act.The alliance between the 35 local governments will represent over three million Australians, and the Climate Council estimates that ""cities, urban centres and rural townships have the potential to slash energy emissions by a staggering 70 per cent.""ACT Environment Minister Shane Rattenbury attended the launch as well, and spoke about the discussions that took place during his trip to the United Nations in Marrakech in November last year.""What was very clear there [in Marrakech] was the important role that sub-national governments are playing,"" Minister Rattenbury said.""It was particularly interesting to see that it's very strong in the countries where our national governments have not taken the leadership.""Canada, the United States, and Australia were three countries where that sub-national leadership has been so important.""\l"
"COP23","Australia","COP23_Australia5","Canberra climate action on show at UN talks in Germany","November 19, 2017 Sunday 07:00 PM GMT","Canberra Times Online","The role of cities like Canberra in affecting progress against global warming has been considered in the latest United Nations climate talks, with experts welcoming ""a groundswell"" of innovation.World leaders including German Chancellor Angela Merkel, French President Emmanuel Macron and environment advocates gathered in the former German capital of Bonn last week for the 23rd conference for signatories to the UN Convention on Climate Change.University of Canberra chair of Urban and Regional Planning Barbara Norman said a key message from the talks had been how mayors, governors and regional leaders could work together to create large-scale change, boosting wider efforts on a national and international basis.Professor Norman said powering cities with 100 per cent renewable electricity, building integrated transport systems, designing green precincts and environmentally sustainable developments were key to meaningful progress.""Sustainable solutions such as these need green financing mechanisms and support from national governments if they are to deliver real outcomes on the ground,"" she said.""At COP 23, the World Bank unveiled a new program designed to provide cities with a vehicle to raise necessary funding and investment, in partnership with private enterprise.""In one of the conference's key finance sessions, the former leader of the UN Framework Convention on Climate Change, Christiana Figueres, stressed that green finance will be the key to urban change, with a current industry target of $US1 trillion, and more in green bonds by 2020.""In a piece for HYPERLINK https://theconversation.com/cop-23-three-ways-cities-are-leading-the-fight-against-climate-change-87277The Conversation, Professor Norman wrote national governments should enable the coming wave of urban innovation to move forward, including through the Paris Agreement and UN Sustainable Development Goals.""While a few states may choose to ignore international agreements, this groundswell of collaborative action across businesses, governments and communities is sending a strong message that national governments would be wise to heed.""Embracing and investing in urban transformation that improves the health of people and the planet is clearly a winning strategy.""Chair of the ACT Climate Change Council, she said Canberra stood out among cities involved in an international cooperation network, including because the territory was on track to achieve its target of 100 per cent renewable electricity by 2020.Environment Minister Josh Frydenberg and Foreign Minister Julie Bishop used Fiji's presidency of the conference to announce Australia would provide additional support to key climate initiatives in Pacific countries.Pleased to deliver our National Statement to HYPERLINK https://twitter.com/hashtag/COP23?src=hash&ref_src=twsrc%5Etfw# COP23 on our strong track record on reducing emissions, and our practical support for global action through initiatives like the Green Climate Fund and Blue Carbon Partnership \~ HYPERLINK https://t.co/GCTx6IoM4fpic.twitter.com/GCTx6IoM4f??? Josh Frydenberg (@JoshFrydenberg) HYPERLINK https://twitter.com/JoshFrydenberg/status/931156850015330304November 16, 2017The ecosystems, which include mangroves, tidal marshes and sea grasses, capture carbon and help mitigate costal erosion.The federal government said Australia has committed to spend $300 million on climate change and resilience activities in countries in the Pacific Islands by 2020, including $75 million for disaster preparedness. HYPERLINK http://www.facebook.com/tcmcilroyFacebook and \~ HYPERLINK http://www.twitter.com/tommcilroyTwitter\l"
"COP23","Australia","COP23_Australia6","FED:Pacific islands brace for cyclone season","October 20, 2017 Friday 11:03 AM AEST","AAP Newsfeed","\~\~As 10,000 people living on Vanuatu's island of Ambae wait to return home after the Manaro volcano threatened to erupt, there's already fears another natural disaster looming.\~\~ The Pacific islands, just like Australia's northern tropics, are about to enter cyclone season.\~\~ At the inaugural Pacific Week of Agriculture in Vanuatu's capital of Port Vila this week, it was highlighted that climate change is increasing the risk of damage by destructive winds.\~\~ Following on from Cyclone Pam in 2015 and Cyclone Winston in 2016, Mr Halavatau predicted the region will be ""getting another one very soon"".\~\~ ""Climate change poses a threat to the very survival of the South Pacific nations,"" he said at the conference.\~\~ But there is another group working behind the scenes on preventative projects, some of which are aimed at reducing the impact of climate change and cyclone events.\~\~ ACIAR chief executive Andrew Campbell says several projects are targeted at lessening the damage caused by natural disasters, including better forecasting and the planting of more trees.\~\~ Prof Campbell says as well as providing a long-term investment for families, the trees stabilise the soil and stop erosion.\~\~ He predicts the Pacific island nations will use next month's United Nations Climate Change Conference to ""amp up the pressure on the big countries"" to increase global targets.\~\~ The Paris Agreement's aim to keep global warming to ""well below two degrees"" this century is not good enough for the region, Prof Campbell stressed.\~\~ ""Two degrees won't be twice as bad as one degree it'll be more like 10 times as bad.""\~\~ AAP travelled to Vanuatu with the support of the Crawford Fund.\l"
"COP23","Australia","COP23_Australia7","Mia Oenoto Exploring Environmental Science at XJTLU","June 22, 2017 Thursday 11:16 AM AEST","MediaNet Press Release Wire","Mia Oenoto from Jakarta, Indonesia, is studying BSc Environmental Science atXi£n Jiaotong-Liverpool University in Suzhou, China. HYPERLINK https://photos.prnasia.com/prnh/20170621/1881345-1https://photos.prnasia.com/prnh/20170621/1881345-1Mia's mother inspired her to focus on environmental issues""It's an interdisciplinary subject,"" she said, ""I need to know about law,international relations, and science. It can be challenging, but I really enjoyit."" Mia attended high school in Jakarta, the capital of Indonesia and a verydensely populated city. She originally planned to study law or medicine atuniversity, but became interested in environmental science through theinfluence of her mother.environmental science had been available as a major at the time she did herundergraduate degree, she definitely would have taken it.""Mia's mother works as an accountant. She shared with Mia her love for theoutdoors and her concern for environmental issues, giving her Al Gore's bookson climate change when she was a teenager.""She asked me to read them to improve my English,"" she said, ""I think the realreason was to raise my awareness about global warming. My mother encouraged meto think about the future and how I can contribute to it, not just to find ajob and make money.""In 2015, Mia represented XJTLU at the United Nations Climate Change Conferencein Paris, France, where delegates from over 190 countries discussed reducinggreenhouse gas emissions that pollute the air and contribute to global warming.She also delivered a Youth Climate Declaration to the international Conferenceof Youth held in advance of the main conference.It was Mia's mother who first gave her a brochure from XJTLU in which she readabout the modules she would later go on to study as part of BSc EnvironmentalScience. ""We don't just read journal articles,"" said Mia, ""We read the real documentsthat form the basis of agreements between countries about how to preventclimate change.""""The Department incorporates a lot of different perspectives and collaboratesshe continued, ""We've had guest lectures by academics from Urban Planning andDesign and Architecture.""Jiaotong University and the University of Liverpool.SOURCE\~\~Xi£n Jiaotong-Liverpool UniversityLoad-Date:\~June 22, 2017\l"
"COP23","Australia","COP23_Australia8","Flannery, Paris, Adani and 2020: 'It is a lived experience'","June 10, 2017 Saturday","Bega District News","While President of the United States Donald Trump, has officially pulled his country out of the Paris climate agreement, a founding member of Clean Energy for Eternity says Australia must do more to meets its climate change targets.Philippa Rowland was in Paris during the 2015 United Nations Climate Change Conference.""One thing about [Donald] Trump pulling out is there is no doubt the US is a big emitter, so pulling out is not helpful,"" Ms Rowland said.""So far 195 countries signed up, and 146 have ratified. I think that speaks that climate change is no longer theoretical, it is a lived experience.""She said while the move was an election promise, and ""no secret in the Twittersphere"", states have taken the slack and are setting their own targets.""There is a sense America has isolated itself. Though many states are following through despite his decision,"" she said.Ms Rowland made the trip as a member of the community delegation with UN accreditation through the Climate Action Network Australia.While Prime Minister Malcolm Turnbull called the American president's decision ""disappointing"", Ms Rowland said ""we have a shameful side of the coin ourselves"".""Our Prime Minister made a deal with Adani, and that's in our home at the moment,"" she said.""There has been a knee-jerk reaction from government away from things that appear to have failed in the past such as a carbon price, and a move towards including gas and coal as clean energy.""2020 is less than three years away, it's outrageous.""She said while the town of Tathra appears on track to meeting its 2020 target of reducing the town's power needs by 50 per cent, and generating half its energy needs from renewable sources, others are not so close.The motivation for the creation of the Clean Energy for Eternity group came about while local orthopedic surgeon Matthew Nott was sitting on Tathra Beach, reading Dr Tim Flannery's book The Weather Makers in scorching 40 degree heat.These days Dr Flannery is head of the Climate Council, and will be visiting Bega on Tuesday to host a forum alongside Bega Valley Shire mayor Kristy McBain on ways communities and councils can work together to combat climate change.Earlier this year council was just one of 15 councils invited by the Climate Council to participate in the Cities Power Partnership.\l"
"COP23","Australia","COP23_Australia9","EUR:UN climate talks move to political stage","November 15, 2017 Wednesday 9:05 AM AEST","AAP Newsfeed","\~\~World leaders and environment ministers are arriving in Germany as the UN climate talks move into their more serious and political stage.\~\~ It?s expected COP23 president Fiji will end the talks with the significant victory of getting agreement on the design of the Talanoa dialogue - discussions throughout 2018 for the world to assess how it?s tracking on climate action and what more has to be done quickly.\~\~ The deadl"
"COP23","Australia","COP23_Australia10","EUR:Fiji warns climate talks must stay united","November 13, 2017 Monday 7:24 AM AEST","AAP Newsfeed","\~\~Fiji has warned countries at the UN climate talks it is overseeing that they must put aside their differences and work together if the world is to limit climate change.\~\~ ?We are encouraging all parties to provide the political will necessary to achieve an ambitious outcome at , which includes of course the pre-2020 commitments and actions,? Fijian Prime Minister Frank Bainimarama told reporters in Bonn on Sunday.\~\~ Splits have developed at the talks during the past week over the inclusion on the formal agenda of discussions about lifting climate action ambitions before 2020, and over financing arrangements to help developing countries act on and adapt to climate change.\~\~ The European Union rejected this notion while Australia?s environment ambassador Patrick Suckling, speaking for developed countries outside Europe, said persistent efforts to add extra items to the COP agenda were ?hampering the very progress we are seeking?.\~\~ But he reminded parties the only way any one country could protect itself from climate change was by joining with all others and moving together.\~\~ ?No one is immune to climate change and we must focus not on our differences but on the absolute imperative to move this process forward.?\l"
