"COP","country","ID","title","date","source","text"
"COP24","USA","COP24_USA1","PRESIDING BISHOP'S DELEGATION TO ATTEND 24TH UNITED NATIONS CLIMATE CHANGE CONFERENCE","November 28, 2018 Wednesday","States News Service","The following information was released by the Episcopal Church:Episcopal Church Office of Public AffairsAn eight-member delegation representing the Episcopal Church's Presiding Bishop Michael Curry will attend the 24th Climate Change Conference in Katowice, Poland, December 2-14. This is the fourth Episcopal delegation to attend this climate change meeting.Known as COP24, the United Nations Climate Change Conference is an annual intergovernmental meeting to focus on global dialogue and action around the United Nations Framework Convention on Climate Change. This conference produced the 1997 Kyoto Protocol and the 2015 Paris Agreement, which serves as the current basis for global standards on climate action and lowering carbon emissions.Called by Presiding Bishop Curry and led by Bishop Marc Andrus of the Diocese of California, the COP24What I have found in participating in the United Nations climate summits from Paris onwards is that the thousands of national representatives from virtually every country on Earth are also local climate activists. These remarkable COP representatives are updating the adage from the 1970s, think globally and act locally' to be 'think and act globally and locally',"" said Andrus. ""Thinking and acting, globally and locally is what we in The Episcopal Church are about. At General Convention 79 in Austin we passed 19 pieces of environmentally-related resolutions, and we also heard compelling stories of local action. Former Archbishop of Canterbury Rowan Williams once said, It takes a global body to confront global problems.' The Episcopal Church is a global body doing climate and environmental work at the world and the local levels.""The delegation will bring the voice and perspective from Episcopalians around the globe to the diplomatic community gathering in Katowice. It will also coordinate with Anglican Communion, interfaith and civil society partners in their presence at the conference.""Resolutions coming out of the 79th General Convention have given the Episcopal Church's Office of Government Relations additional tools to advocate for care of creation from allowing us to be engaged around advocacy for our earth's oceans to recognizing the need to address carbon emissions,"" said Rebecca Linder Blachly, Director, Office of Government Relations. ""We look forward to partnering with organizations and governments around the world to work for an earth that will sustain us for generations to come.""""Following the Presiding Bishop's call for life-giving, liberating, and loving care of creation, our witness at informs our ministry and helps us safeguard the integrity of creation and sustain and renew the life of the earth,"" added Melanie Mullen, the Episcopal Church's director of reconciliation, justice, and creation care.How to participateFollow the delegation on Instagram, Twitter and Facebook using #EpiscopalClimate:@EpiscoClimate on Twitter will provide the most up-to-date tracking at COP24.@EpiscopalUN on Facebook and Twitter will provide more UN-specific updates.The Episcopal Public Policy Network will highlight opportunities for action around policy. Find them @TheEPPN on Twitter, Facebook and Instagram.The Episcopal Church primary accounts on Instagram, Facebook, and Twitter will share videos, Facebook Live feeds and periodic summary updates about the conference.When engaging on social media, submit your prayers for climate action and stories about what your faith community is doing to protect the environment.Share this release in parish announcements and on social media.DelegationBishop Curry has named a bishop representative, a clergy representative, and a lay representative to represent him at . They will be accompanied by other Episcopalians and members of the Presiding Bishop's staff. Episcopalians with accredited observer status are:The Rt. Rev. Marc Andrus, bishop of the Episcopal Diocese of California (bishop representative)Dr. Sheila Andrus, ecological entomologist and science manager, Episcopal Diocese of CaliforniaThe Rev. Lester Mackenzie, rector of St. Mary's Episcopal Church, Laguna Beach, California (clergy representative)Ms. Lynnaia Main, Episcopal Church representative to the United NationsDr. Andrew R. H. Thompson, visiting assistant professor of theological ethics, School of Theology, University of the South (lay representative)The Rev. Melanie Mullen, Episcopal Church director for reconciliation, justice and creation careMr. Alan Yarborough, communications coordinator and office manager, Episcopal Church Office of Government RelationsObserver status allows each of these team members the ability to brief UN representatives on the Episcopal Church's General Convention climate resolutions and to attend a variety of meetings in the official zone.\l"
"COP24","USA","COP24_USA2","The Arbor Day Foundation Attends the United Nations Climate Change Conference","January 29, 2019 Tuesday 2:07 PM EST","3BL Blogs","Jan 29, 2019( 3BL Blogs: http://3blmedia.comhttp://3blmedia.comUnited Nations , , in Katowice, Poland to advocate for investments in natural climate solutions[2], specifically forests and trees. The two main goals of COP24 were to finalize the 'Paris Rulebook' for implementing the Paris Agreement[3] from COP21 in 2015 and to 'raise ambition' for reaching a global response to the threat of climate change.Leading up to COP24, there were two major reports from the leading climate scientists the IPCC Special Report 15[4] and the 4th US National Climate Assessment[5]. These reports highlight how climate change is already negatively affecting human and natural systems, what could happen if we do not change our current behavior and economic systems, and what communities, companies, and governments can do to get back on track for a more prosperous future.Here are some of the biggest changes we need to make to mitigate climate change: Avoid additional carbon emissions by transitioning to renewable sources like wind, solar, and hydro, and advance renewable energy storage. Stop deforestation. Cut global carbon emissions to net-zero by mid-century. Remove all the carbon emissions humans have released into the atmosphere since the industrial revolution  more than 1.5 trillion tons. When you think of the best way to fight climate change[6], forests and trees are the cheapest, most powerful, and accessible solution to remove carbon from the atmosphere. Trees also enhance community resilience and help companies meet sustainability goals. Trees provide the necessities of life. They clean our air and water, improve biodiversity, soil, human health, food production, and the economy.Read The Carbon Footprint of Coffee[7] Takeaways from COP24A 'Rulebook' was agreed upon at COP24. Here are some of the positive highlights.Rulebook Sending Demand Signals to CompaniesMore ambitious national climate action plans are coming, likely by 2020 when the Paris Agreement officially goes into effect. Therefore, businesses must be ready for tougher climate goals and a growth of new sustainable development policies in the coming years. One thing is clear, companies that are proactive in using climate action to their competitive advantage will adapt well to the new clean and ecologically sustainable economy. One third of all human-caused carbon emissions came from land-use change and deforestation. Taking steps to measure and manage emissions from land-use will be important for many companies and the communities where they operate. Land-use change emissions are usually the most difficult set of emissions to address and the most overlooked by investors, companies, and countries.Read Planting Purpose with the Arbor Day Foundation[8] One Set of Rules for all CountriesDeveloped and developing countries will all have the same rules. In the past, global climate agreements had separate rules for rich and poor countries. This has been a major issue for political leaders in the U.S., European Union, and China. Standardized monitoring and reporting will make it easier to recognize the countries that are the leaders and identify countries that need help. Climate Finance In addition to climate financing from the public sector and multilateral development banks (MDB)  like the World Bank private climate finance continues to grow through initiatives like the U.S. Alliance for Sustainable Finance[9] and Climate Action 100+[10].These initiatives caused some complications for COP negotiators in how to count private sector climate finance funding in addition to other public monies from developed countries to assist developing countries in climate action investments. With the current rulebook, countries can report the complete loan value (public and private funds); not just the granted public and MDB money. Going forward, this will likely result in unlocking additional private sector capital for sustainable development projects. There is More Work that Needs to be Done in These Areas Welcoming the IPCC SR15 Report Since the release in October 2018, the latest IPCC Special Report has been an urgent call to climate action and a guide to use sustainable development as a tool to eliminate poverty and other systemic economic inequalities. Over 190 counties agreed to fully support this report as the primary guide to climate negotiations and actions.The science is clear, the impact of GHG emissions can be felt now and smart business leaders understand that ambitious action is critical and urgent. For example, oil and gas giant Shell is taking important steps to transition its business models to align with the scientific community[11]. Just TransitionThe clean economy and sustainable development goals should not be a model to reinforce existing economic inequalities (income inequality, lack of high-quality education, inadequate and costly healthcare) and only improve the environment. This economic transition needs to improve people's lives and be a better way of doing business. Recognizing that there needs to be fair labor transitions and major investments in worker's skill development is critically important. The transition of the workforce and creating high-quality jobs embedded with purpose is essential to a fair transition. Read Duke Energy Florida Helps Customers go Green[12] More business and political leaders need to keep the Just Transition Declaration[13] in the forefront of their economic transition plans. The ongoing 'yellow vest' protests in Paris, stemming from a carbon tax on gasol"
"COP24","USA","COP24_USA3","CLIMATE CHANGE MINISTER VISITS POLAND FOR UN CONFERENCE ON CLIMATE CHANGE","December 8, 2018 Saturday","States News Service","The following information was released by the UK Government:Minister Mark Field visited Poland on 6-8 December to discuss Paris Agreement commitments and green innovation at the UN climate change conference.Published 8 December 2018From:Foreign and Commonwealth Office and The Rt Hon Mark Field MPForeign Office Minister with responsibility for Climate Change Mark Field attended the UN's major climate change conference COP24 in Poland on 6-8 December.COP24 brought together representatives from governments across the world along with experts from science, business and finance to advance work on tackling climate change.During his visit, the Minister met with senior Ministers and officials from a range of partner countries, including China, Germany, Indonesia, and Poland. He also hosted a series of events at the UK Pavilion, showcasing British expertise and green innovation, including an event to celebrate the UK-Poland Partnership on electro mobility and zero emission vehicles. The Minister highlighted the need for all countries to demonstrate higher ambition in their international commitments, and pushed for a robust set of rules to underpin the Paris Agreement.The UK is committed to sharing its expertise and help developing countries in the global challenge of tackling climate change. The government has committed at least 5.8 billion of funding between 2016 and 2020 to help developing countries reduce emissions, and mitigate and adapt to the impacts of climate change. The UK will use our role leading on Climate Resilience at the 2019 UN Climate Summit to advance this work.FCO Minister Mark Field said:This year marks 10 years since Britain enacted the world's first comprehensive climate change law. It has been instrumental in our progress on climate change. Since then, we have decarbonised our economy faster than any other country in the G20, and we are leading the way in the shift from coal to renewable energy. But the reality is that we all need to do more.COP24 has brought us together across government, civil society and business boundaries, to build on the Paris Agreement 2015. It is vital parties make good on their commitment to finalise a set of rules that apply to all and will ensure continuous improvement in the fight against climate change.The conference will continue for another week, with Ministers from BEIS and DEFRA in attendance, as well as the Foreign Secretary's Special Representative on Climate Change.\l"
"COP24","USA","COP24_USA4","The 24th Conference of the Parties (COP24) Convenes in Katowice, Poland","December 6, 2018 Thursday 6:06 PM EST","Envirolaw","Dec 06, 2018( Envirolaw: http://www.siskinds.com/envirolaw/bloghttp://www.siskinds.com/envirolaw/blog Delivered by Newstex) On December 2, 2018, delegates from almost 200 nations convened in Katowice, Poland for the 24th Conference of the Parties (COP24) to the United Nations Framework Convention on Climate Change (UNFCCC). The COP24, also known as the United Nations Climate Change Conference, Katowice, Poland, 2018, is the fourteenth session of the Conference of the Parties serving as the Meeting of the Parties to the Kyoto Protocol, and the third part of the first session of the Conference of the Parties serving as the Meeting of the Parties to the Paris Agreement. The conference is scheduled last two weeks, ending on December 14, 2018. The COP24 is the highly anticipated follow up to the 2015 Paris Agreement on Climate Change. The Paris Agreement, which entered into force in November of 2016, is an agreement between the parties to the UNFCCC to combat climate change. Specifically, the Paris Agreement includes a commitment to keep the global temperature rise under 2 degrees Celsius this century. The Paris Agreement also requires parties to the agreement to establish Nationally Determined Contributions (NDCs) and to report regularly on their emissions and implementation efforts. Canada ratified the Agreement in October of 2016 and its NDC submission to the UNFCCC includes a commitment to achieve economy-wide GHG emission reductions of 30 percent below 2005 levels by 2030[1]. The COP24 is expected to include negotiations regarding detailed guidel"
"COP24","USA","COP24_USA5","COP24 Off To A Rocky Start As Previous Leaders Call For 'Unequivocal Message'","December 4, 2018 Tuesday 2:08 AM EST","CleanTechnica","Dec 04, 2018( CleanTechnica: HYPERLINK http://cleantechnica.comhttp://cleantechnica.com, got underway on Sunday in Katowice, Poland, to something of a rocky start, despite a call from previous COP Presidents to 'send an unequivocal message for enhanced ambition by 2020 that puts the world on a trajectory compatible with the objectives of the Paris Agreement.' HYPERLINK https://c1cleantechnicacom-wpengine.netdna-ssl.com/files/2018/12/COP24-6.jpgEachhttps://c1cleantechnicacom-wpengine.netdna-ssl.com/files/2018/12/ HYPERLINK COP24 -6.jpgEach year at this time, the eyes of the world's energy and environmental industries turn to the latest location of the United Nations .Conference of the Parties (COP) is the supreme body of theUnited Nations Framework Convention on Climate Change (UNFCCC)and meets each year to make decisions ensuring the effective implementation of policies agreed upon by involved parties. This year's COP24 is being held in Katowice, Poland, from December 2 to 14.Rocky StartStraight out of the gate, however, theopening plenary was delayed on Sunday in part because of a request from Turkey to downgrade its status to that of 'developing country'  a move intended to soften Turkey's responsibilities. Developed countries  those listed in the Convention as Annex I countries  are expected to contribute more to climate financing and emission reductions than developing nations.The COP presidency agreed to schedule consultations on Turkey's proposal. Similarly distracting from the core purposes of the Conference is the position of host country Poland regarding its reliance upon coal for its electricity generation. Protestors picketed the site of a former coal mine in Poland over the weekend in an effort to shine a light on the country's coal industry. According to the World Energy Council[3],Poland consumes 77 million tonnes of coal per year, making it the tenth-largest coal consumer in the world and the second-largest in the EU, after Germany, securing 92% of its electricity and 89% of its heat from coal. Unfortunately, it would appear Poland has arrived at the Conference fully intent on ensuring everyone knows it is not ashamed of its coal use, considering that its own pavilion design ethos is prioritizing coal:So Polish exhibition stand is literally made of coal. Points for authenticity. #COP24[4] pic.twitter.com/9FoLZzlMD2[5]  Pascoe Sabido (@pascoesabido) December 2, 2018[6] This comes after the United States continued to impose its gravity on the Conference, promising to put on a literal coal sideshow[7] on the sidel"
"COP24","USA","COP24_USA6","GOVERNOR BROWN TO WORLD LEADERS AT THE CLOSE OF COP24: WAKE UP!","December 13, 2018 Thursday","States News Service","The following information was released by the office of the Governor of California:Blasting the efforts of the United States, Saudi Arabia, Kuwait and Russia to undermine climate science as a ""suicide mission"" and ""criminal enterprise,"" Governor Edmund G. Brown Jr. tonight implored the world's leaders to ""wake up"" and ""take action now"" in a video message released ahead of the conclusion of the United Nations in Poland (COP24).To the leaders gathered in Poland for the Conference of the Parties, this is a message from California: Wake up! The planet is burning up. Carbon emissions are growing this year has been one of the highest growth rates in recent decades. This is not a matter to be taken anything but very, very seriously.The United States, I am sorry to say, does not represent the people of the United States. California, Washington, New York, Vermont and many, many other states, representing tens of millions of people, believe in the science of climate change believe, and demand that we reduce our carbon emissions.In California, we have set a goal of zero carbon emissions by 2045. We have taken other measures: We are introducing electric vehicles, building restrictions, cap-and-trade, renewable energy requirements upon our electric utilities there is so much we can do. I'm not saying we've gotten there our emissions per capita are entirely too high, but we are committed to do more.We recognize the science undergirding the knowledge we have today on climate change. If we're going to stay below 1.5 degrees centigrade from the industrial period, we have to take action now.The actions and the behavior of the leaders of the United States and Saudi Arabia and Kuwait and Russia and other countries are not acceptable. This is a suicide mission upon which you have embarked. Pull back, the people of the world are asking you men, women and children.From California, I can tell you, people are dying because of climate change in fires, in mudslides, in floods and other parts of the country, in New York and North Carolina and Louisiana and Texas. This is serious stuff.You represent humanity over 7 billion people are counting on you. Don't resort to what will be condemned in future years as nothing less than a criminal enterprise.Wake up, do the right thing. Leaders in Poland, this is your chance, this is your time. The people of California, the people of the United States and the people of the world expect no less. Take action, take action now.\l"
"COP24","USA","COP24_USA7","Visas for participants of the COP24","November 6, 2018 Tuesday","US Official News","Olympia: Embassy of the Republic of Poland, The state of Washington has issued the following news release: The UNFCCC is a  Rio Convention , one of three adopted at the  Rio Earth Summit in 1992. The UNFCCC entered into force on 21 March 1994. Today, it has near-universal membership. The countries that have ratified the Convention are called Parties to the Convention. Preventing  dangerous human interference with the climate system is the ultimate aim of the UNFCCC. The Conference of the Parties (COP) is the supreme body of the UNFCCC Convention. It consists of the representatives of the Parties to the Convention. It holds its sessions every year. The COP takes decisions which are necessary to ensure the effective implementation of the provisions of the Convention and regularly reviews the implementation of these provisions. In accordance with a decision of the 22nd Session of the Conference of the Parties to the Climate Convention (COP22) in Marrakesh in November 2016, the successive climate summit will be held in Poland. Poland was selected to host this event within the framework of the Eastern European Group (EEG). Poland will hold the Presidency of the Climate Convention for the third time. COP24 will take place from 3-14 December 2018, in Katowice, Poland. Visas Unless you are a citizen of a country that is waived from visa requirement or already hold a visa, you are required to apply for one in order to travel to Poland to participate in the Conference. Poland is part of the Schengen Area, which means that short-term Schengen visas issued by Poland are valid throughout the territory of all 26 Schengen states: Austria, Belgium, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, the Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden and Switzerland. Citizens of the following third countries are not required to be in possession of a visa when entering Poland for less than 90 days: HYPERLINK https://www.msz.gov.pl/en/p/msz_en/travel_to_poland/entering_poland/visa_free/visa_free_countrieshttps://www.msz.gov.pl/en/p/msz_en/travel_to_poland/entering_poland/visa_free/visa_free_countries Please bear in mind that a set of very specific documents must be prepared when applying for a Schengen visa. 1. A copy of the acknowledgement letter from the UNFCCC Onl"
"COP24","USA","COP24_USA8","ADDRESS PRECEDING THE CONCERT ON THE OCCASION OF THE CENTENARY OF REGAINING INDEPENDENCE AND THE INAUGURATION OF COP24","December 3, 2018 Monday","States News Service","The following information was released by the office of the President of the Republic of Poland:President Andrzej DudaYour Royal Highness,Your Excellencies, Honourable Presidents,Your Excellencies, Honourable Prime Ministers,Your Eminence,Ladies and Gentlemen!I would like to express my joy and gratitude for your pr4esence in this Hall, thank you for gathering here on the one hand, at the opening of the United Nations Climate Change Conference COP24, but also - and I would like to stress this very strongly - in connection with the centenary of the regaining of independence by my country, the Republic of Poland.See also: President: Poland, as UN member, proud contributor to global security This is no coincidence whatsoever that it is precisely in this year, in 2018, that this great world event, the COP24 conference, takes place in Poland. At COP22 in Marrakech, back in 2016 we, as Poland, sought to be the host of COP24 this year, also in connection with the centenary of Poland's regaining independence. At the occasion afforded by this grand meeting we wanted to share with you our joy of the century of regaining independence.Today's concert - also in its contents - is a reference to the two aforementioned grand periods in the history of my country. We will hear music by Paderewski, but also by Wojciech Kilar. We will hear the music of an exquisite Polish pianist and composer, as well as an outstanding diplomat, to whom, among others, we are indebted for the restoration of independence in 1918, recognising his talent, his struggle for a free Poland; we consider him to be one of the six fathers of our independence. But we will also hear pieces by the contemporary composer: Wojciech Kilar, who died only five years ago. There will be historical music, but there will also be contemporary music.This is precisely the way we would look at those one hundred years of our history, at that Poland, which was reborn in 1918, and at today's Poland, which has been reborn, has gained full sovereignty and independence in the wake of developments of 1989. That Poland was arising from the ruins of World War I, the one today is still struggling to make up for the delays which communism inflicted on it. That Poland could only develop for 21 years, until 1939, i.e. until the beginning of World War II, the present-day Poland is almost 30 years old.See also: Statement by the President at the official opening of the Climate Summit and the COP24 Leaders' Summit Statement by the President of the Republic of Poland at the session devoted to the ""Just Transition"" declarationI would like to strongly emphasize that we, the Poles, welcoming you and rejoicing in your presence, are also very proud to be able to host the COP Conference on Climate Change in Poland for the third time, but also that this is happening at a time when we are a non-permanent member of the United Nations Security Council.We are very proud that as a member of the world's largest organisation, the United Nations, we can take care of the world security in many aspects: the security of everyday life, and therefore also in the military aspect, but also in terms of secure future and security of future generations to come, which is the essence of works of COP conference.See also: President and UN Secretary General open COP24 climate summit in Katowice I firmly believe that this conference, which takes place in Katowice, a venue of symbolic nature for us, Poles, in terms of climate protection, in the city which develops at such a good pace, will produce excellent results expected by all of us. Above all, that it will contribute to global climate protection.And this is something I wish to all of you, this is something I wish for myself, for my compatriots and my Home Country, also in the context of the centenary of its regaining independence. I wish you a beautiful concert, great experiences and, above all, a successful COP24 summit in Katowice.Thank you.\l"
"COP24","USA","COP24_USA9","THE EBRD AT COP24","November 27, 2018 Tuesday","States News Service","The following information was released by the European Bank for Reconstruction and Development (EBRD):02 - 14 Dec 2018Katowice, PolandUN Climate Change ConferenceThe pioneering role of the European Bank for Reconstruction and Development (EBRD) in promoting climate finance and green investments across three continents will be on display at the United Nations , COP24, in Katowice, Poland, from 2-14 December.This year the EBRD will engage with representatives of the public and private sectors to present its unique business model for addressing the global challenge of climate change. Bank representatives will take part in several events focused on climate finance, climate mitigation and adaptation investments and policy dialogue to help countries move towards low-carbon resilient pathways.The EBRD will also hold sessions about tracking and reporting climate finance, about its work on disclosing physical climate risks and opportunities, its technology transfer programme and on EBRD Green Cities, a programme that helps cities identify, prioritise and connect their environmental challenges with sustainable infrastructure investments and policy dialogue.Since 2006, the EBRD has invested over 28 billion in more than 1,500 projects that are helping to reduce CO2 emissions, by 93 million tonnes per year. And under its Green Economy Transition approach, the EBRD aims to double the pace of its climate financing by 2020.Register11 December: Financing an inclusive Green Economy TransitionDate: 11 DecemberTime: 11:00- 12:30Organiser: EBRD, Grantham Research Institute at the London School of Economics (LSE)The objective of the session is to discuss the extent of the challenge and possible routes to overcome it, focusing on the role that financial institutions can play. It will combine corporate and political views, and comment on the degree of awareness/action plans of institutional and multilateral investors. Some pilot initiatives will be shown.Many Governments and companies are contributing to the Paris Agreement by advancing their green economy transition agendas. This transition has the strong potential to bring economic prosperity and high quality jobs, and to pave the way for a sustainable future for present as well as future generations. However, it could entail short term and sometimes intense- adverse impacts on certain kinds of jobs and assets, often labelled as stranded assets and stranded labour.Keynote speech:Lord Nicholas Stern, I.G. Patel Professor of Economics and Government LSE, Former Chief Economist of the EBRD and of the World BankModerator: Pilita Clark, Associate Director and Business Columnist at the Financial Times (tbc)Panellists:Mattia Romani, Managing Director of Economics, Policy and Governance Group at the European Bank for Reconstruction and Development, EBRDNick Robins, Professor in Practice for Sustainable Finance at the London School of Economics, LSEDaniele Agostini, Head of Low Carbon and Energy Strategies, ENELAlison Tate, Director of Economics and Social Policy at the International Trade Union Confederation, ITUC Kazimierz Karolczak, President of Silesia Metroplis (tbc)12 December: New horizons for climate finance: disclose risks and create opportunitiesDate: 12 DecemberTime: 10:30 12:00Location: Katowice, Poland, EU Pavilion at COP24Organiser: EBRD, AFD, IDB, Climate Action in Financial Institutions The event will look into the experience of developing a definition of climate finance and the reporting of such flows. Based on this growing body of experience, the theme now moves to risk disclosure, and using this information to create investment opportunities.Panel 1: Experience of tracking and disclosing climate finance flowsThe first panel will first show the rationale of climate finance tracking. It will then further discuss the extensive experiences in developing methodologies for capturing and disclosing climate finance. Speakers from the Multilateral development banks (MDB) climate finance reporting initiative and the International Development Finance Club (IDFC) will share insights on taxonomy development, setting-up tracking systems and the definition of targets for climate finance.Panellists:EBRD, Carel Cronenberg, Associate Director, Lead Monitoring, Reporting and VerificationIslamic Development Bank, Ahmed Al Qabany, Manager, Climate Change DivisionMIGA, Amarilis Beltrn Netwall, Environmental and Social SpecialistCAF, Mr. Julian Suarez, VP of Sustainable Development (confirmed)Moderator: OECDPanel 2: Moving forward on the disclosure of climate-related risks and opportunitiesEBRD, Craig Davies, Associate Director, Head of Climate Resilience InvestmentsIDB, Claudio Alatorre, Lead climate change specialistAFD, Camille LAURENS-VILLAIN, Risk Department (confirmed)SEB, Marie Baumgarts, Head of Sustainability (confirmed)Bank of America, Abyd Karmali\l"
"COP24","USA","COP24_USA10","2018 HOTTEST YEAR EVER- UN CLIMATE CHIEF","December 7, 2018 Friday","Lesotho News Agency","Maseru, Dec. 7 -- The United Nations Climate Chief Ms. Patricia Espinosa says 2018 may be one of the hottest years ever.She said this to highlight how important it is for the annual United Nations Climate Change Conference (COP24) opened on December 02 in Poland's Katowice to address climate change impacts and greenhouse gas emissions.The annual United Nations () opened on December 2 in Poland's Katowice to finalise the implementation guidel"
