"COP","country","ID","title","date","source","text"
"COP26","South.Africa","COP26_South.Africa1","COP26 money is vital to the expansion of power grid, says Eskom\u8217 s Andre de Ruyter","March 3, 2022 Thursday","Cape Times (South Africa)","ESKOM chief executive Andre de Ruyter reiterated yesterday that the power utility should be allocated a lion\' s share of the just transition fund that was offered to South Africa at COP26 as the power utility seeks to expand its power grid.The country was allocated R131 billion ($8.6bn) by France, Germany, the UK and the US, as well as the European Union to accelerate South Africa's transition from high carbon to a low carbon economy. Eskom chief executive Andre de Ruyter, delivering a virtual keynote address at the 2022 Africa Energy Indaba yesterday, said that if the power utility was allocated the money, it would help Eskom expand the grid. We have issues around the capital, and we are excited about $8.5bn that South Africa managed to have reached with lenders at . We believe the bulk should come to Eskom for us to expand on our grid, he said.In his presentation, De Ruyter said in the Transmission Development Plan that the power utility had published it stated that the power utility wanted by 2031 to spend about R180bn on new transmission infrastructure.  That means we have to build about 2 598km of l"
"COP26","South.Africa","COP26_South.Africa2","COP26 was more talk than action","November 25, 2021 Thursday","Mail & Guardian","The age-old adage ""all talk, no action"" encapsulates the frustration of African representatives with the results of the https://mg.co.za/tag/cop26/Conference of Parties 26 (COP26), recently concluded in Glasgow, Scotland.\~The final agreement, called the HYPERLINK https://mg.co.za/tag/glasgow-climate-pact/Glasgow Climate Pact frustrated?\~\~One of the reasons surrounds the question of financing from developed countries in support of climate action in developing countries. The commitment of resources from the developed world into the $100-billion annual fund to help developing countries address climate action is not being met.\~Developed countries argue that China is now the number one emitter of greenhouse gas emissions. It exceeds the emissions of the US and developed countries combined. They argue China needs to do more to tackle its rapidly expanding economy that is the leading contributor to greenhouse gas emissions.\~On its part, China points a finger back at the US and the developed world for being hypocritical. Their economies have benefited immensely from HYPERLINK fossil fuels like coal and crude oil. However, these developed countries do not want China to benefit from the same by constraining its economy through greenhouse-gas emission restrictions.\~Africa and the rest of the developed world are left frustrated between the bickering of major powers. Unfortunately, it is the continent of Africa that suffers the most from the greenhouse gas emissions of the developed world.\~\~Another reason for the frustrations of African representatives to COP26 is the lack of ambition from the most egregious of polluters in addressing the climate crisis. The science on climate change clearly illustrates a major environmental catastrophe in the future, but political elites in developed countries are lacklustre, at best, in grasping the urgency of the climate crisis.\~Climate change is an existential threat. However, in major developed-country cities like New York, Rome, London, Paris, Berlin, Los Angeles, and Tokyo, the weakened economies of these countries, coupled with the political lobbying of the fossil fuel companies, makes drastic action to tame the climate crisis unattainable.\~Ironically, at COP26, fossil fuel companies were overrepresented at the conference, a clear indication that they had come prepared to lobby to safeguard their interests with major government leaders.\~\~Thirdly, the question of fossil-fuel subsidies crippled any meaningful agreement on climate change that would have teeth. The US and other major industrial countries\~ provide huge subsidies on fossil fuels to lower consumer prices in their nations, to compensate oil companies for exploration expenses and as a byproduct of the lobbying process in the US congress. These subsidies have the result of making renewable resource development and uptake more expensive and less attractive to energy utilities and the private sector more generally.\~In addition, these subsidies skew the market in favor of fossil fuel companies, which already rake in multibillion dollar profits in oil extraction. The wording on the Glasgow Climate Pact was toothless as far as aggressively dealing with subsidies to oil companies. It called for a removal of inefficient subsidies rather than what was needed: the removal of all subsidies on fossil fuels.\~In addition to this, the ambiguous iteration attached to ""inefficient"" subsidies, further frustrated African delegates at . Continued subsidies for fossil fuel companies perpetuate the trajectory of a global economy heavily dependent on fossil fuels. Consequently, this results in more global warming. Unfortunately, a disproportionate amount of the pain from global warming falls on African nations.\~\~What needs to be done to resolve the issues from COP26 for African nations at COP27? Establishing a mechanism of funding for the $100-billion to support developing countries (many of which are in Africa) would tackle the worst effects of climate change.\~In addition, there is a need to align government policy in the developed world, with the majority of public opinion that is concerned about the climate crisis and wants something done immediately.\~Lastly, developed countries should gradually remove subsidies to fossil-fuel companies, encouraging these companies to invest in green technology. This technology will not only enable these fossil-fuel companies to protect the environment, but also enable them to make a profit. These technologies can then support renewable-energy development in the developing world. COP27 need not be the talk shop into which COP26 degenerated.\~The post HYPERLINK https://mg.co.za/opinion/2021-11-25-cop26-was-more-talk-than-action/COP26 was more talk than action HYPERLINK https://mg.co.zaThe Mail & Guardian\l"
"COP26","South.Africa","COP26_South.Africa3","cop26","November 7, 2021","Sunday Tribune (South Africa)","Recognising climate change as an existential threat to humanity, a schoolgirl from Tamil Nadu impressed world leaders with her address at the UN Climate Change Conference (COP26) in Glasgow, Scotland, this week.The finalist of Prince William\' s Earthshot Prize, 15-year-old Vinisha Umashankar told heads of state and government delegations:  I\' m not just a girl from India. I\' m a girl from Earth and I\' m proud to be so. I\' m also a student, innovator, environmentalist and entrepreneur but most importantly, I\' m an optimist, she said emphatically in her brief address that got a rousing applause from the audience Feeling optimistic as I head home from #COP26 having met our @EarthshotPrize winners & finalists and discussed their solutions to repair our planet. Especially proud to see Vinisha speaking in front of the world, demanding change so that her generation can have a better future, he tweeted.Attending the leaders event,  Accelerating Clean Technology Innovation and Deployment , Prince William showcased the prize winners and finalists, and solutions to the world\' s greatest environmental challenges.He was joined on stage by Vinisha, who called on world leaders, international organisations, civil society and business leaders to back the innovations, solutions and projects working to repair the planet, and join the next generation in taking action.During the summit, the winner and finalists of the Fix our Climate Earthshot displayed their groundbreaking environmental solutions.This included the AEM Electrolyser from Enapter, which won the Earthshot Prize for its ingenious green hydrogen technology on transforming how to power homes and buildings, and fuel for transport.Also on display were solutions from Bangladesh-based finalist SOLbazaar which showcased the technology behind the world\' s first peer-to-peer energy exchange network, and Reeddi Capsules for its solar-powered energy capsule which is transforming clean energy across Nigeria.Following the event, winners and finalists met leaders and government representatives from their respective countries.Earlier in the day at COP26, global advisor to the winners, Michael R Bloomberg, hosted an Earthshot Prize Global Alliance Assembly reception which was the first time winners and finalists met some of the Global Alliance and Prize Council members, including Christiana Figueres, Hindou Oumarou Ibrahim and Luisa Neubauer in person.The Global Alliance is an unprecedented network of philanthropists, NGOs and some of the world\' s biggest companies and brands.It represents 3.6 million employees globally that together will help support and scale the innovative and groundbreaking solutions developed by the 15 Earthshot Prize finalists. | \l"
"COP26","South.Africa","COP26_South.Africa4","ALL ABOUT COP26","November 4, 2021 Thursday","Financial Mail (South Africa)","ALL ABOUT COP26What is COP26Who will be there? There's an expected turnout of about 25,000 participants, including heads of state, international financiers and NGOs, climate change experts, activists such as Greta Thunberg and business leaders. Even the British royal family make an appearance (though Queen Elizabeth is giving it a miss this year, for health concerns).Who are the no-shows? The leaders of China, India, Russia and Iran - all countries on the top 10 polluter list, according to emissions offsetting company ClimateTrade - will reportedly be skipping the event (some will send envoys in their stead, or address the conference virtually). Brazil's Jair Bolsonaro will also be a no-show, Japanese Prime Minister Fumio Kishida's attendance remains uncertain and Pope Francis is set to address the gathering remotely. Given the November 1 elections in SA, environment minister Barbara Creecy is reportedly standing in for President Cyril Ramaphosa.What's the aim? Participants are expected to take stock of mitigation efforts since the signing of the historic Paris climate agreement at COP21. It aims to limit global warming to below 2\'b0C (but preferably 1.5\'b0C) against pre-industrial levels. Given a shortfall in meeting the target, it's expected that there will be a call at COP26 for more drastic measures - and more specific pledges - to limit emissions.Greta ThunbergJair BolsonaroBarbara Creecy\l"
"COP26","South.Africa","COP26_South.Africa5","Youth dismiss COP26 as \u8216 much of the same\u8217 ","November 17, 2021 Wednesday","Cape Argus (South Africa)/Argus Weekend (South Africa)","REFLECTING on the past 25 COPs (Conference of Parties), young climate activists said COP26 was much the same with very little action aside from promises and declarations made by leaders and representatives.Project 90 by 2030 spokesperson Gabriel Klaasen said  COP26 was billed to be \' the most important COP\' in the weeks leading up to the event. Looking back and on closer reflection, we see that aside from the strengthened grassroots movement that emerged from the event, this gathering was destined to be the same as its predecessors. Klaasen said it was no surprise that with the largest delegation at the Glasgow Conference coming from the fossil fuel industry, most affected areas and people, youth and other marginalised communities were undermined and their voices suppressed.African Climate Alliance (ACA), another youth-led climate justice organisation, had their youth ambassadors representing them at , one of these being Dorothy Mwale, who said COP26 was a wonderful experience, but felt there was not a lot of youth inclusivity. In the side events we were able to communicate and talk to decision-makers, but that\' s not where the decision lies. Youth still need a position, a seat at the table, said Mwale.ACA team and youth activist network said looking back at COP26, they were not overly surprised by the way things turned out, and that it was an overall disappointment. What could have been an opportunity to listen to marginalised voices and take definitive actions, was ultimately a parade of false promises and \' goals\' that are not sufficient to combat the climate crisis. While some progress was made, the conference was primarily dominated by green-washing and inaction, said the group.Klaasen said the conference had again proved it was not sincere about including the voices that should be leading the conversation, yet continued to push the narrative that it was inclusive and valued their input.This opinion was echoed in a protest last week by the Climate Justice Charter Movement (CJCM) against lack of the implementation of the Climate Justice Charter, supported by 260 organisations, to address continued use of oil, gas and coal to power South Africa. CJCM activist Vishwas Satgar said a young person would face seven to eight climate extremes in their lifetime, and therefore it was no surprise that youth were at the forefront of the struggle towards climate justice.\l"
"COP26","South.Africa","COP26_South.Africa6","COP26 \u8216 just more blah, blah, blah\u8217 ","November 15, 2021 Monday","Cape Times (South Africa)","UN Secretary-General Antonio Guterres warned of an impending  climate catastrophe , while environmental campaigner Greta Thunberg dismissed Saturday\' s COP26 climate conference deal as  blah, blah, blah .And even those who welcomed the deal in Glasgow said a huge amount of work remained to be done.Guterres acknowledged the shortcomings of the agreement, in a statement following the deal reached on Saturday evening at the Glasgow conference. The #COP26  Our fragile planet is hanging by a thread, he warned, adding  we are still knocking on the door of climate catastrophe. In a follow-up tweet, the UN chief sent a message to young people, indigenous communities, women leaders, all those leading on #ClimateAction. I know you might be disappointed. But we\' re in the fight of our lives & this fight must be won. Thunberg, arguably the world\' s best known environmental campaigner, was more blunt in her assessment. The #COP26 is over, she tweeted.  Here\' s a brief summary: Blah, blah, blah. But the real work continues outside these halls. And we will never give up, ever. During the conference, Thunberg and other activists had denounced the way it was playing out, arguing that world leaders had failed to match their words with real action.British Prime Minister Boris Johnson remained relatively upbeat. There is still a huge amount more to do in the coming years, Johnson said.  But today\' s agreement is a big step forward and, critically, we have the first ever international agreement to phase down coal and a roadmap to limit global warming to 1.5\'baC. A European Commission statement said the deal kept the targets of the 2015 Paris climate agreement alive,  giving us a chance of limiting global warming to 1.5\'baC . Commission President Ursula von der Leyen said delegates to the conference had made progress on commitments to cut back on dangerous emissions, and on raising $100 billion a year to help developing and vulnerable countries. | AFP\l"
"COP26","South.Africa","COP26_South.Africa7","Creecy: SA achieved its main COP26 objectives","November 18, 2021 Thursday","Cape Argus (South Africa)/Argus Weekend (South Africa)","FORESTRY, Fisheries and the Environment (DEFF) Minister Barbara Creecy, as leader of South Africa\' s delegation to COP26, revealed the outcomes of the international climate change talks in Glasgow and elaborated on South Africa\' s efforts to address the effects of climate change during a media briefing in Parliament. COP26Creecy said South Africa\' s main priorities, mandated by the Cabinet ahead of COP26, were to secure an ambitious and progressive finance and adaptation package to support African and other developing countries, as well as to complete the Paris Agreement work programme. The key technical work included setting up carbon markets, an enhanced transparency framework and agreeing on common time-frames for the nationally determined contributions of parties to the Paris Agreement. These overarching objectives have been met, said Creecy.Responding to various climate justice protests that were held across the country during COP26 by youth and indigenous communities to have their voices heard on a global scale, Creecy said they ensured two youth representatives of the climate commission were accredited delegates at the conference because they understood the extent of the issue for young people.Creecy also said a platform was set up to address both the just transition and alignment of financial flows, consistent with a pathway towards a low greenhouse gas emission future and climate resilient development.While this was taking place, the country\' s heavy reliance on the coal industry came to light again with a landmark constitutional litigation, #CancelCoal court case, launched by youth-based African Climate Alliance (ACA), the Vukani Environmental Justice Movement in Action (VEM) and groundWork (gW), represented by the Centre for Environmental Rights (CER), against the Minister of Energy and the National Energy Regulator of South Africa (Nersa) at the North Gauteng High Court, demanding the abandonment of plans to build 1 500MW of new coal-fired power. The burning of coal is the biggest contributor to global climate change, in addition to unacceptable health impacts caused by air and water pollution. Plans to build 1 500MW of new coal-fired power are costly, unnecessary and an unjustified limitation of the Section 24 right to an environment not harmful to health and well-being, along with other rights, and should be abandoned, said the CER.\l"
"COP26","South.Africa","COP26_South.Africa8","The post-COP26 state of coal","November 25, 2021 Thursday","Mail & Guardian","The post- HYPERLINK https://mg.co.za/tag/cop26/COP26 state of coal has become elevated in global climate diplomacy with the first-ever mention of the fossil fuel in the final HYPERLINK https://mg.co.za/tag/glasgow-climate-pact/Glasgow Climate PactDespite the watering down of the final text from ""phasing out coal and fossil fuel subsidies"" to ""phasing down unabated coal and inefficient fossil-fuel subsidies"", the acknowledgement of coal has been described as a major precedent for climate commitments across the world.\~The International Energy Agency (IEA) HYPERLINK https://www.iea.org/reports/net-zero-by-2050says that to limit global warming to 1.5\'b0C, 2021 needs to mark the end of new investments not only in coal, but also in new oil and gas supply.\~\~According to research institute Ember, the recent UN climate negotiations in Glasgow, Scotland  resulted in 47 countries signing the HYPERLINK global coal to clean power transition statement, with new phase-out commitments from HYPERLINK https://twitter.com/EmberClimate/status/145628797153625293111 countries.\~The body says more than 95% of coal capacity is now in countries with phase-out plans.\~In addition, a number of countries have committed to ending coal finance abroad. These include China, Japan and South Korea, as well as HYPERLINK https://www.ft.com/content/92839b0d-dba1-41a7-923b-d3361bb19b9aG20, HYPERLINK G7 and HYPERLINK Organisation for Economic Co-operation and Development countries.Phasing out coal is a long stretch, but cancelling new coal is among the more immediate action announcements this year. resulted in a number of countries committing to no new coal development, including Malaysia, Sri Lanka and HYPERLINK https://www.seforall.org/press-releases/governments-launch-unprecedented-initiative-to-end-new-coal-powerChile. Vietnam, the Philippines, Poland, Morocco and Kenya joined the movement, despite previous plans for new coal.\~Organisations such as the HYPERLINK https://energyandcleanair.org/glasgow-impact-on-coal/Centre for Research on Energy and Clean Air said COP26 HYPERLINK https://ember-climate.org/commentary/2021/11/17/making-coal-history/Ember, this constitutes two-thirds of the plants outside China. The organisation has found that rich countries are among the HYPERLINK https://ember-climate.org/commentary/2021/11/11/per-capita-coal-power-emissions-show-australia-and-south-korea-far-beyond-india-and-china/worst coal-power emitters""The net is closing in on fossil fuels, and coal is at the front-l"
"COP26","South.Africa","COP26_South.Africa9","Ramaphosa secures major COP26 green finance deal","November 3, 2021 Wednesday","Daily Dispatch (South Africa)","CAROL PATONPresident Cyril Ramaphosa has announced that SA has secured a commitment of R130bn of highly concessional climate financing from developed countries and the EU, to help SA transition away from coal to cleaner forms of energy. The governments include the UK, the US, France and Germany. The commitment was agreed on in a political declaration finalised at in Glasgow, and is the first significant financing deal to emerge from the landmark climate conference. COP26 has set the goal of raising $100bn a year for the next five years to assist developing countries with climate change mitigation and adaptation. ""Through the political declaration issued today to establish this partnership, partner countries will mobilise an initial $8.5bn (R131bn) over the next three to five years through a range of instruments, including grants and concessional finance, to support the implementation of our revised NDC through a just transition to a low-carbon and climate-resilient economy,"" Ramaphosa said on Tuesday. He said the financial resources would ""accelerate investment in renewable energy and the development of new sectors such as electric vehicles and green hydrogen"". ""This will provide a significant boost to investment and growth while ensuring Eskom can access resources to finance repurposing of coal fired power-stations due for decommissioning over the next 15 years,"" he added. The R130bn commitment follows a letter of intention from the Climate Investment Funds (CIF) to assist SA with grant funding of between $200m and $500m, depending on the presentation of an acceptable plan. In making the funding commitments, both the CIF and the governments concerned have recognised SA's ambitious commitment to reducing greenhouse gas emissions that was made at COP26. In making such a commitment the SA government has emphasised that SA, like developing countries, requires financial assistance in meeting emissions targets. COP26 SA has committed to a ""just energy transition"", which entails protecting and supporting those workers and communities whose livelihoods have been built on the carbon economy. ""At the heart of this partnership is the importance of a just transition, which includes support for workers and communities affected by the transition away from coal and enables the creation of quality green jobs. ""A joint taskforce will be established to take forward the partnership over the coming months,"" Ramaphosa said. - BusinessLive GREEN FUNDING: President Cyril Ramaphosa has secured R130bn of climate financing from developed countries and the EU, to help SA transition away from coal to cleaner forms of energy. Picture: GCIS\l"
"COP26","South.Africa","COP26_South.Africa10","COP26 pursues carbon colonialism","November 7, 2021","The Sunday Independent (South Africa)","The 26th session of the Conference of the Parties (COP26) to the United Nations Framework Convention on Climate Change (UNFCCC), which takes place in Glasgow from October 31 to November 12, brought together more than 120 world leaders for 12 days of talks aimed at forming an agreement on how to tackle the climate emergency.The expectation is that countries will produce 2030 emission reduction targets that will secure global net zero by 2050. For that to happen, the phase-out of coal must be accelerated, deforestation must be curtailed and investment in green energy must rise significantly. Leaders from the Global South are correctly demanding action on the climate emergency, noting that those who were not responsible for creating the problem were bearing the brunt of its effects.The COP summit is the supreme body of the convention, which was an environmental treaty agreed to by 154 nations at the first Earth Summit in Rio de Janeiro, Brazil, in 1992. The first COP meeting in Berlin in 1995 decided that previous agreements to stabilise emissions were not robust enough.This led to what is probably the most famous international agreement on climate change emissions  the Kyoto Protocol  at COP3 in Japan in 1997. The first period of the Kyoto Protocol ran until 2012, when they were amended at a COP meeting in Doha, Qatar.This extended Kyoto until 2020, but also set in motion the process for a new agreement. The main reason that COP has failed is that its principal strategy cannot work  because it is based on economics rooted in the logic of capitalism. The solutions offered by the capitalist ruling class to environmental issues involve some form of emissions trading schemes or carbon offsetting.Climate change, together with nuclear war, is one of the two issues which can overturn the present basis of human civilisation. should therefore be an arena for strictly objective international scientific discussion and international cooperation. The current programmes supported by governments fail because they are based on a capitalist system of continuous growth which is not environmentally sustainable.The COP talks themselves are actually sponsored by industry, often the fossil fuel industry. Ultimately, the talks fail to create solutions to the climate crisis because governments have to move to replace fossil fuels with sustainable energy sources as soon as possible, and they have too much invested in fossil fuels to do this. COP26 is also dominated by wealthier countries and corporations which are not invested in decreasing pollution or stop exploiting the planet\' s resources.The root cause of capitalism\' s ongoing environmental damage is because it is a system based on endless growth. Capitalists have to constantly expand in order to avoid going under because they are locked into competition with one another.Developed countries are promoting a new global recolonisation process, which could be called the new carbon colonialism. They are attempting to impose the rules of the game, their own rules of the game, to continue to fuel the new green capitalistic system and to force these rules of the game upon the developing countries.Dr Mahlatsi is an SACP Free State PEC Member writing in his personal capacity\l"
