1 		  CLIMATE 	82 	  	1202767 	0.01 	8.50 	
2 		  CONFERENCE 	65 	  	1752286 	0.00 	7.62 	
3 		  MADRID 	61 	  	396898 	0.02 	9.67 	
4 		  CHANGE 	40 	  	4516379 	0.00 	5.56 	
5 		  PARTIES 	38 	  	1475433 	0.00 	7.10 	
6 		  UN 	22 	  	631318 	0.00 	7.53 	
7 		  EMERGENCY 	17 	  	1156632 	0.00 	6.29 	
8 		  SUMMIT 	15 	  	532400 	0.00 	7.23 	
9 		  MEETING 	11 	  	2894214 	0.00 	4.34 	
10 		  DECEMBER 	10 	  	2154016 	0.00 	4.63 	
11 		  ACTION 	10 	  	2638909 	0.00 	4.33 	
12 		  CHILE 	8 	  	115830 	0.01 	8.52 	
13 		  OUTCOME 	8 	  	476525 	0.00 	6.48 	
14 		  TALKS 	8 	  	952802 	0.00 	5.48 	
15 		  2019 	8 	  	3668230 	0.00 	3.54 	
16 		  SPAIN 	7 	  	470098 	0.00 	6.31 	
17 		  ISSUES 	6 	  	2980197 	0.00 	3.42 	
18 		  UNFCCC 	5 	  	5068 	0.10 	12.36 	
19 		  UNDERWAY 	5 	  	258429 	0.00 	6.68 	
20 		  ATTENDING 	5 	  	321376 	0.00 	6.37 	
21 		  NEGOTIATIONS 	5 	  	414928 	0.00 	6.00 	
22 		  FAILURE 	5 	  	731004 	0.00 	5.18 	
23 		  TAKES 	5 	  	1642380 	0.00 	4.02 	
24 		  COUNTRIES 	5 	  	2891608 	0.00 	3.20 	
25 		  HOST 	4 	  	1011644 	0.00 	4.39 	
26 		  NATIONS 	4 	  	1122534 	0.00 	4.24 	
27 		  LEADERS 	4 	  	2159514 	0.00 	3.30 	
28 		  AFRICA 	4 	  	2557766 	0.00 	3.06 	
29 		  THUNBERG 	3 	  	17766 	0.02 	9.81 	
30 		  U.N 	3 	  	101757 	0.00 	7.29 	
31 		  HOSTING 	3 	  	272464 	0.00 	5.87 	
32 		  CONSIDERATION 	3 	  	356854 	0.00 	5.48 	
33 		  HOSTED 	3 	  	379491 	0.00 	5.39 	
34 		  GENDER 	3 	  	507931 	0.00 	4.97 	
35 		  ULTIMATELY 	3 	  	637999 	0.00 	4.64 	
36 		  UPCOMING 	3 	  	666939 	0.00 	4.58 	
37 		  ONGOING 	3 	  	936293 	0.00 	4.09 	
38 		  YESTERDAY 	3 	  	1290952 	0.00 	3.63 	
39 		  UPDATES0 	2 	  	48 	4.17 	17.76 	
40 		  SVG 	2 	  	1592 	0.13 	12.71 	
41 		  APEC 	2 	  	21004 	0.01 	8.98 	
42 		  EMANATING 	2 	  	27808 	0.01 	8.58 	
43 		  CONVENE 	2 	  	33525 	0.01 	8.31 	
44 		  $25,000 	2 	  	38327 	0.01 	8.12 	
45 		  DEPRESSING 	2 	  	41011 	0.00 	8.02 	
46 		  SANTIAGO 	2 	  	67360 	0.00 	7.30 	
47 		  DUCK 	2 	  	95710 	0.00 	6.80 	
48 		  WELCOMING 	2 	  	148206 	0.00 	6.17 	
49 		  FINED 	2 	  	152454 	0.00 	6.12 	
50 		  AMBITION 	2 	  	160682 	0.00 	6.05 	
51 		  PASSAGE 	2 	  	191021 	0.00 	5.80 	
52 		  WORKSHOP 	2 	  	204260 	0.00 	5.70 	
53 		  UNFORTUNATE 	2 	  	230336 	0.00 	5.53 	
54 		  CONCERNING 	2 	  	238932 	0.00 	5.48 	
55 		  REPRESENTATION 	2 	  	244294 	0.00 	5.44 	
56 		  ORGANIZED 	2 	  	291332 	0.00 	5.19 	
57 		  ROLLING 	2 	  	312261 	0.00 	5.09 	
58 		  ACKNOWLEDGED 	2 	  	319179 	0.00 	5.06 	
59 		  PRESIDENCY 	2 	  	319343 	0.00 	5.06 	
60 		  GATHERED 	2 	  	418977 	0.00 	4.67 	
61 		  SEGMENT 	2 	  	431351 	0.00 	4.62 	
62 		  CONCLUDED 	2 	  	443554 	0.00 	4.58 	
63 		  WIDELY 	2 	  	447896 	0.00 	4.57 	
64 		  PUSHED 	2 	  	481722 	0.00 	4.46 	
65 		  TAYLOR 	2 	  	492595 	0.00 	4.43 	
66 		  PRIORITY 	2 	  	604784 	0.00 	4.14 	
67 		  STORM 	2 	  	621269 	0.00 	4.10 	
68 		  PARIS 	2 	  	677071 	0.00 	3.97 	
69 		  DEVELOPING 	2 	  	830629 	0.00 	3.68 	
70 		  SESSION 	2 	  	847785 	0.00 	3.65 	
71 		  CRITICAL 	2 	  	1070639 	0.00 	3.31 	
72 		  COVER 	2 	  	1111454 	0.00 	3.26 	
73 		  MOVING 	2 	  	1297103 	0.00 	3.04 	
74 		  EMISSION-CUTTING 	1 	  	84 	1.19 	15.95 	
75 		  BHISMA 	1 	  	100 	1.00 	15.70 	
76 		  >WITH 	1 	  	206 	0.49 	14.66 	
77 		  FCCC 	1 	  	449 	0.22 	13.53 	
78 		  UNFCC 	1 	  	467 	0.21 	13.48 	
79 		  NYONG 	1 	  	643 	0.16 	13.01 	
80 		  TWO-WEEK-LONG 	1 	  	769 	0.13 	12.76 	
81 		  PRE-CONFERENCE 	1 	  	934 	0.11 	12.48 	
82 		  HARJEET 	1 	  	1048 	0.10 	12.31 	
83 		  LDCS 	1 	  	3120 	0.03 	10.73 	
84 		  JEOPARDISING 	1 	  	6315 	0.02 	9.72 	
85 		  PARTAKING 	1 	  	6439 	0.02 	9.69 	
86 		  ALLEGIANCES 	1 	  	8600 	0.01 	9.27 	
87 		  DELIVERABLES 	1 	  	8603 	0.01 	9.27 	
88 		  AMS 	1 	  	13069 	0.01 	8.67 	
89 		  RABBLE 	1 	  	15112 	0.01 	8.46 	
90 		  MAGNIFIED 	1 	  	15433 	0.01 	8.43 	
91 		  ROADBLOCK 	1 	  	17529 	0.01 	8.24 	
92 		  CONGREGATE 	1 	  	18506 	0.01 	8.17 	
93 		  NIO 	1 	  	19936 	0.01 	8.06 	
94 		  CSE 	1 	  	21874 	0.00 	7.93 	
95 		  LACKLUSTRE 	1 	  	23448 	0.00 	7.83 	
96 		  INCONCLUSIVE 	1 	  	25789 	0.00 	7.69 	
97 		  POLLUTING 	1 	  	29096 	0.00 	7.51 	
98 		  CULMINATING 	1 	  	33248 	0.00 	7.32 	
99 		  GUTERRES 	1 	  	33956 	0.00 	7.29 	
100 		  NEGOTIATOR 	1 	  	35756 	0.00 	7.22 	
