Year	Month	websites	texts	words
2022 	Jan 	2,375 	72,006 	43,892,836
2021 	Dec 	3,545 	333,679 	206,416,044 	
2021 	Nov 	3,493 	343,966 	212,721,806 	
2021 	Oct 	3,944 	326,397 	202,281,244 	
2021 	Sep 	4,007 	334,046 	203,206,568 	
2021 	Aug 	3,689 	317,534 	195,625,474 	
2021 	Jul 	4,185 	343,943 	204,444,723 	
2021 	Jun 	3,870 	357,867 	207,107,942 	
2021 	May 	3,424 	310,201 	196,606,293 	
2021 	Apr 	3,389 	310,994 	203,088,788 	
2021 	Mar 	6,267 	342,302 	226,286,219 	
2021 	Feb 	3,789 	288,012 	184,824,841 	
2021 	Jan 	3,379 	329,399 	206,606,227 	
2020 	Dec 	3,375 	301,602 	189,600,860 	
2020 	Nov 	3,239 	293,187 	185,045,225 	
2020 	Oct 	3,474 	298,449 	198,094,127 	
2020 	Sep 	2,978 	321,556 	220,284,388 	
2020 	Aug 	2,816 	373,629 	255,599,268 	
2020 	Jul 	3,158 	353,919 	234,588,055 	
2020 	Jun 	2,344 	352,956 	240,053,628 	
2020 	May 	8,078 	365,007 	233,687,513 	
2020 	Apr 	8,910 	361,876 	212,275,353 	
2020 	Mar 	8,719 	394,335 	238,817,335 	
2020 	Feb 	8,305 	329,921 	180,724,244 	
2020 	Jan 	8,806 	412,132 	219,072,222 	
2019 	Dec 	8,321 	361,365 	188,119,989 	
2019 	Oct 	8,191 	348,596 	183,515,319 	
2019 	Nov 	7,892 	365,574 	195,788,453 	
2019 	Sep 	10,126 	341,798 	196,615,815 	
2019 	Aug 	10,289 	274,269 	143,717,417 	
2019 	Jul 	14,559 	173,363 	82,955,841 	
2019 	Jun 	7,561 	323,438 	171,418,865 	
2019 	May 	7,298 	313,771 	175,811,655 	
2019 	Apr 	7,281 	311,756 	167,682,945 	
2019 	Mar 	7,125 	307,939 	176,732,360 	
2019 	Feb 	6,456 	309,978 	164,462,989 	
2019 	Jan 	6,698 	330,215 	173,665,746 	
2018 	Dec 	6,416 	272,799 	147,540,743 	
2018 	Nov 	7,234 	298,425 	160,186,292 	
2018 	Oct 	7,176 	320,099 	170,329,956 	
