"","COP","country","aspect","keyword","freq"
"1","COP21","Australia","Accessibility","affordability",7.55768211935545
"2","COP21","Australia","Accessibility","affordable",56.6826158951659
"3","COP21","Australia","Accessibility","ability to pay",0
"4","COP21","Australia","Accessibility","able to pay",2.26730463580664
"5","COP21","Australia","Accessibility","inability to pay",0
"6","COP21","Australia","Accessibility","unable to pay",1.51153642387109
"7","COP21","Australia","Accessibility","energy poverty",9.82498675516208
"8","COP21","Australia","Accessibility","energy burden",0
"9","COP21","Australia","Accessibility","fuel poverty",0.755768211935545
"10","COP21","Australia","Accessibility","fuel-poverty",0
"11","COP21","Australia","Accessibility","trasportation poverty",0
"12","COP21","Australia","Accessibility","energy prices",27.2076556296796
"13","COP21","Australia","Accessibility","transportation bills",0
"14","COP21","Australia","Accessibility","utility bill",0
"15","COP21","Australia","Accessibility","electricity bill",0.755768211935545
"16","COP21","Australia","Accessibility","utility bills",0
"17","COP21","Australia","Accessibility","electricity bills",0.755768211935545
"18","COP21","Australia","Accessibility","gas bill",0
"19","COP21","Australia","Accessibility","energy bill",22.6730463580664
"20","COP21","Australia","Accessibility","energy bills",18.8942052983886
"21","COP21","Australia","Accessibility","energy cost",12.8480596029043
"22","COP21","Australia","Accessibility","equity",46.8576291400038
"23","COP21","Australia","Accessibility","inequity",3.02307284774218
"24","COP21","Australia","Accessibility","inequality",20.4057417222597
"25","COP21","Australia","Accessibility","inequalities",9.82498675516208
"26","COP21","Australia","Accessibility","energy justice",0
"27","COP21","Australia","Accessibility","household",21.1615099341953
"28","COP21","Australia","Accessibility","households",47.6133973519393
"29","COP21","Australia","Accessibility","low-income households",1.51153642387109
"30","COP21","Australia","Accessibility","low-income household",1.51153642387109
"31","COP21","Australia","Accessibility","energy efficiency",38.5441788087128
"32","COP21","Australia","Accessibility","personal finance",0
"33","COP21","Australia","Accessibility","personal finances",0
"34","COP21","Australia","Accessibility","race",40.0557152325839
"35","COP21","Australia","Accessibility","minorities",0.755768211935545
"36","COP21","Australia","Accessibility","underserved communities",0.755768211935545
"37","COP21","Australia","Accessibility","gender",24.940350993873
"38","COP21","Australia","Accessibility","women",158.711324506464
"39","COP21","Australia","Accessibility","social economic class",0
"40","COP21","Australia","Accessibility","upper class",0
"41","COP21","Australia","Accessibility","middle class",1.51153642387109
"42","COP21","Australia","Accessibility","lower class",0.755768211935545
"43","COP21","Australia","Accessibility","working class",0
"44","COP21","Australia","Accessibility","economic class",0
"45","COP21","Australia","Accessibility","upper-class",0
"46","COP21","Australia","Accessibility","middle-class",0.755768211935545
"47","COP21","Australia","Accessibility","lower-class",0
"48","COP21","Australia","Accessibility","working-class",0
"49","COP21","Australia","Accessibility","household heating",0.755768211935545
"50","COP21","Australia","Accessibility","cooling",9.82498675516208
"51","COP21","Australia","Accessibility","thermal comfort",0
"52","COP21","Australia","Accessibility","household heating problems",0
"53","COP21","Australia","Accessibility","household cooling problems",0
"54","COP21","Australia","Accessibility","consumption",81.6229668890389
"55","COP21","Australia","Accessibility","consuming",3.02307284774218
"56","COP21","Australia","Accessibility","consumed",4.53460927161327
"57","COP21","Australia","Accessibility","basic needs",3.77884105967773
"58","COP21","Australia","Accessibility","basic need",3.77884105967773
"59","COP21","Australia","Accessibility","reduced costs",0
"60","COP21","Australia","Accessibility","reduces costs",0
"61","COP21","Australia","Accessibility","reducing costs",0
"62","COP21","Australia","Accessibility","consumers",66.507602650328
"63","COP21","Australia","Accessibility","consumer",43.0787880803261
"64","COP21","Australia","Accessibility","development",1875.81670202402
"65","COP21","Australia","Accessibility","insurance",148.130569539367
"66","COP21","Australia","Accessibility","cheap",39.2999470206483
"67","COP21","Australia","Accessibility","economical",0.755768211935545
"68","COP21","Australia","Accessibility","low cost",6.04614569548436
"69","COP21","Australia","Accessibility","low-cost",15.8711324506464
"70","COP21","Australia","Accessibility","budget",84.646039736781
"71","COP21","Australia","Accessibility","cost effective",4.53460927161327
"72","COP21","Australia","Accessibility","cost-effective",3.77884105967773
"73","COP21","Australia","Accessibility","efficiency",58.9499205309725
"74","COP21","Australia","Accessibility","unequal",1.51153642387109
"75","COP21","Australia","Accessibility","underrepresented",3.02307284774218
"76","COP21","Australia","Accessibility","low income household",0.755768211935545
"77","COP21","Australia","Accessibility","low income households",0.755768211935545
"78","COP21","Australia","Accessibility","energy-efficiency",0
"79","COP21","Australia","Security","reliability",10.5807549670976
"80","COP21","Australia","Security","reliable",34.0095695370995
"81","COP21","Australia","Security","resilience",90.6921854322654
"82","COP21","Australia","Security","resilient",55.9268476832303
"83","COP21","Australia","Security","power outage",0
"84","COP21","Australia","Security","power outages",0
"85","COP21","Australia","Security","blackout",1.51153642387109
"86","COP21","Australia","Security","black-out",0
"87","COP21","Australia","Security","blackouts",7.55768211935545
"88","COP21","Australia","Security","black-outs",0.755768211935545
"89","COP21","Australia","Security","power cut",0
"90","COP21","Australia","Security","power cuts",0
"91","COP21","Australia","Security","security",241.845827819374
"92","COP21","Australia","Security","stability",19.6499735103242
"93","COP21","Australia","Security","adequacy",2.26730463580664
"94","COP21","Australia","Security","corruption",12.0922913909687
"95","COP21","Australia","Security","corrupted",1.51153642387109
"96","COP21","Australia","Security","geopolitics",6.8019139074199
"97","COP21","Australia","Security","peak hours",0.755768211935545
"98","COP21","Australia","Security","energy demand",15.1153642387109
"99","COP21","Australia","Security","nuclear",176.093993380982
"100","COP21","Australia","Security","consistent",59.7056887429081
"101","COP21","Australia","Security","consistency",3.02307284774218
"102","COP21","Australia","Security","intermittancy",0
"103","COP21","Australia","Security","intermittent",4.53460927161327
"104","COP21","Australia","Security","war",88.4248807964588
"105","COP21","Australia","Security","wars",18.1384370864531
"106","COP21","Australia","Security","conflicts",7.55768211935545
"107","COP21","Australia","Security","energy crisis",32.4980331132284
"108","COP21","Australia","Security","energy crises",3.02307284774218
"109","COP21","Australia","Security","petro-politics",0
"110","COP21","Australia","Security","petropolitics",0
"111","COP21","Australia","Security","aging infrastructure",0
"112","COP21","Australia","Security","industry",577.406913918756
"113","COP21","Australia","Security","industries",151.909410599045
"114","COP21","Australia","Security","neoliberalism",0
"115","COP21","Australia","Security","nationalisation",0
"116","COP21","Australia","Security","nationalization",0
"117","COP21","Australia","Security","nationalising",0
"118","COP21","Australia","Security","nationalizing",0
"119","COP21","Australia","Security","certainty",18.1384370864531
"120","COP21","Australia","Security","agreement",1014.99670862944
"121","COP21","Australia","Security","secure",75.5768211935545
"122","COP21","Australia","Security","disaster",91.447953644201
"123","COP21","Australia","Security","disasters",85.4018079487166
"124","COP21","Australia","Security","geo-politics",0
"125","COP21","Australia","Security","geo-political",0
"126","COP21","Australia","Security","poor infrastructure",0.755768211935545
"127","COP21","Australia","Sustainability","sustainability",352.9437549739
"128","COP21","Australia","Sustainability","sustainable",476.133973519393
"129","COP21","Australia","Sustainability","green",1735.99958281595
"130","COP21","Australia","Sustainability","greenhouse",385.441788087128
"131","COP21","Australia","Sustainability","emissions",2532.57927819601
"132","COP21","Australia","Sustainability","emission",123.945986757429
"133","COP21","Australia","Sustainability","emitting",17.3826688745175
"134","COP21","Australia","Sustainability","emitted",30.2307284774218
"135","COP21","Australia","Sustainability","emits",8.313450331291
"136","COP21","Australia","Sustainability","nuclear",176.093993380982
"137","COP21","Australia","Sustainability","carbon capture",71.0422119219412
"138","COP21","Australia","Sustainability","CCS",86.1575761606521
"139","COP21","Australia","Sustainability","CCU",0
"140","COP21","Australia","Sustainability","sequester",9.06921854322654
"141","COP21","Australia","Sustainability","sequestering",2.26730463580664
"142","COP21","Australia","Sustainability","sequestration",13.6038278148398
