"","COP","country","aspect","keyword","freq"
"1","COP21","Bangladesh","Accessibility","affordability",19.9159546712872
"2","COP21","Bangladesh","Accessibility","affordable",92.9411217993401
"3","COP21","Bangladesh","Accessibility","ability to pay",0
"4","COP21","Bangladesh","Accessibility","able to pay",0
"5","COP21","Bangladesh","Accessibility","inability to pay",0
"6","COP21","Bangladesh","Accessibility","unable to pay",0
"7","COP21","Bangladesh","Accessibility","energy poverty",59.7478640138615
"8","COP21","Bangladesh","Accessibility","energy burden",0
"9","COP21","Bangladesh","Accessibility","fuel poverty",0
"10","COP21","Bangladesh","Accessibility","fuel-poverty",0
"11","COP21","Bangladesh","Accessibility","trasportation poverty",0
"12","COP21","Bangladesh","Accessibility","energy prices",0
"13","COP21","Bangladesh","Accessibility","transportation bills",0
"14","COP21","Bangladesh","Accessibility","utility bill",0
"15","COP21","Bangladesh","Accessibility","electricity bill",0
"16","COP21","Bangladesh","Accessibility","utility bills",0
"17","COP21","Bangladesh","Accessibility","electricity bills",0
"18","COP21","Bangladesh","Accessibility","gas bill",0
"19","COP21","Bangladesh","Accessibility","energy bill",0
"20","COP21","Bangladesh","Accessibility","energy bills",0
"21","COP21","Bangladesh","Accessibility","energy cost",6.63865155709572
"22","COP21","Bangladesh","Accessibility","equity",53.1092124567658
"23","COP21","Bangladesh","Accessibility","inequity",0
"24","COP21","Bangladesh","Accessibility","inequality",79.6638186851487
"25","COP21","Bangladesh","Accessibility","inequalities",0
"26","COP21","Bangladesh","Accessibility","energy justice",0
"27","COP21","Bangladesh","Accessibility","household",26.5546062283829
"28","COP21","Bangladesh","Accessibility","households",66.3865155709572
"29","COP21","Bangladesh","Accessibility","low-income households",6.63865155709572
"30","COP21","Bangladesh","Accessibility","low-income household",6.63865155709572
"31","COP21","Bangladesh","Accessibility","energy efficiency",491.260215225084
"32","COP21","Bangladesh","Accessibility","personal finance",0
"33","COP21","Bangladesh","Accessibility","personal finances",0
"34","COP21","Bangladesh","Accessibility","race",6.63865155709572
"35","COP21","Bangladesh","Accessibility","minorities",0
"36","COP21","Bangladesh","Accessibility","underserved communities",0
"37","COP21","Bangladesh","Accessibility","gender",73.0251671280529
"38","COP21","Bangladesh","Accessibility","women",245.630107612542
"39","COP21","Bangladesh","Accessibility","social economic class",0
