"","COP","country","aspect","keyword","freq"
"1","COP21","China","Accessibility","affordability",6.65623855958998
"2","COP21","China","Accessibility","affordable",34.6124405098679
"3","COP21","China","Accessibility","ability to pay",0
"4","COP21","China","Accessibility","able to pay",0
"5","COP21","China","Accessibility","inability to pay",0
"6","COP21","China","Accessibility","unable to pay",0
"7","COP21","China","Accessibility","energy poverty",10.649981695344
"8","COP21","China","Accessibility","energy burden",0
"9","COP21","China","Accessibility","fuel poverty",0
"10","COP21","China","Accessibility","fuel-poverty",0
"11","COP21","China","Accessibility","trasportation poverty",0
"12","COP21","China","Accessibility","energy prices",6.65623855958998
"13","COP21","China","Accessibility","transportation bills",0
"14","COP21","China","Accessibility","utility bill",0
"15","COP21","China","Accessibility","electricity bill",2.66249542383599
"16","COP21","China","Accessibility","utility bills",0
"17","COP21","China","Accessibility","electricity bills",1.331247711918
"18","COP21","China","Accessibility","gas bill",0
"19","COP21","China","Accessibility","energy bill",5.32499084767198
"20","COP21","China","Accessibility","energy bills",2.66249542383599
"21","COP21","China","Accessibility","energy cost",15.9749725430159
"22","COP21","China","Accessibility","equity",66.5623855958998
"23","COP21","China","Accessibility","inequity",1.331247711918
"24","COP21","China","Accessibility","inequality",35.9436882217859
"25","COP21","China","Accessibility","inequalities",23.9624588145239
"26","COP21","China","Accessibility","energy justice",0
"27","COP21","China","Accessibility","household",23.9624588145239
"28","COP21","China","Accessibility","households",33.2811927979499
"29","COP21","China","Accessibility","low-income households",0
"30","COP21","China","Accessibility","low-income household",0
"31","COP21","China","Accessibility","energy efficiency",119.81229407262
"32","COP21","China","Accessibility","personal finance",0
"33","COP21","China","Accessibility","personal finances",0
"34","COP21","China","Accessibility","race",70.5561287316537
"35","COP21","China","Accessibility","minorities",1.331247711918
"36","COP21","China","Accessibility","underserved communities",0
"37","COP21","China","Accessibility","gender",15.9749725430159
"38","COP21","China","Accessibility","women",53.2499084767198
"39","COP21","China","Accessibility","social economic class",0
"40","COP21","China","Accessibility","upper class",0
"41","COP21","China","Accessibility","middle class",10.649981695344
"42","COP21","China","Accessibility","lower class",0
"43","COP21","China","Accessibility","working class",0
"44","COP21","China","Accessibility","economic class",0
"45","COP21","China","Accessibility","upper-class",0
"46","COP21","China","Accessibility","middle-class",1.331247711918
"47","COP21","China","Accessibility","lower-class",0
"48","COP21","China","Accessibility","working-class",0
"49","COP21","China","Accessibility","household heating",0
"50","COP21","China","Accessibility","cooling",27.9562019502779
"51","COP21","China","Accessibility","thermal comfort",0
"52","COP21","China","Accessibility","household heating problems",0
"53","COP21","China","Accessibility","household cooling problems",0
"54","COP21","China","Accessibility","consumption",386.061836456219
"55","COP21","China","Accessibility","consuming",10.649981695344
"56","COP21","China","Accessibility","consumed",15.9749725430159
"57","COP21","China","Accessibility","basic needs",2.66249542383599
"58","COP21","China","Accessibility","basic need",2.66249542383599
"59","COP21","China","Accessibility","reduced costs",0
"60","COP21","China","Accessibility","reduces costs",0
"61","COP21","China","Accessibility","reducing costs",1.331247711918
"62","COP21","China","Accessibility","consumers",38.6061836456219
"63","COP21","China","Accessibility","consumer",50.5874130528838
"64","COP21","China","Accessibility","development",2398.90837687623
"65","COP21","China","Accessibility","insurance",26.6249542383599
"66","COP21","China","Accessibility","cheap",18.6374679668519
"67","COP21","China","Accessibility","economical",5.32499084767198
"68","COP21","China","Accessibility","low cost",1.331247711918
"69","COP21","China","Accessibility","low-cost",6.65623855958998
"70","COP21","China","Accessibility","budget",63.8998901720638
"71","COP21","China","Accessibility","cost effective",3.99374313575399
"72","COP21","China","Accessibility","cost-effective",15.9749725430159
"73","COP21","China","Accessibility","efficiency",214.330881618797
"74","COP21","China","Accessibility","unequal",11.981229407262
"75","COP21","China","Accessibility","underrepresented",0
"76","COP21","China","Accessibility","low income household",0
"77","COP21","China","Accessibility","low income households",0
"78","COP21","China","Accessibility","energy-efficiency",2.66249542383599
"79","COP21","China","Security","reliability",7.98748627150797
"80","COP21","China","Security","reliable",19.9687156787699
"81","COP21","China","Security","resilience",201.018404499617
"82","COP21","China","Security","resilient",117.149798648784
"83","COP21","China","Security","power outage",0
"84","COP21","China","Security","power outages",0
"85","COP21","China","Security","blackout",0
"86","COP21","China","Security","black-out",0
"87","COP21","China","Security","blackouts",1.331247711918
"88","COP21","China","Security","black-outs",0
"89","COP21","China","Security","power cut",2.66249542383599
"90","COP21","China","Security","power cuts",1.331247711918
"91","COP21","China","Security","security",573.767763836656
"92","COP21","China","Security","stability",105.168569241522
"93","COP21","China","Security","adequacy",5.32499084767198
"94","COP21","China","Security","corruption",6.65623855958998
"95","COP21","China","Security","corrupted",0
"96","COP21","China","Security","geopolitics",7.98748627150797
"97","COP21","China","Security","peak hours",0
"98","COP21","China","Security","energy demand",14.6437248310979
"99","COP21","China","Security","nuclear",267.580790095517
"100","COP21","China","Security","consistent",50.5874130528838
"101","COP21","China","Security","consistency",1.331247711918
"102","COP21","China","Security","intermittancy",0
"103","COP21","China","Security","intermittent",6.65623855958998
"104","COP21","China","Security","war",90.5248444104237
"105","COP21","China","Security","wars",11.981229407262
"106","COP21","China","Security","conflicts",58.5748993243918
"107","COP21","China","Security","energy crisis",59.9061470363098
"108","COP21","China","Security","energy crises",3.99374313575399
"109","COP21","China","Security","petro-politics",0
"110","COP21","China","Security","petropolitics",0
"111","COP21","China","Security","aging infrastructure",0
"112","COP21","China","Security","industry",391.386827303891
"113","COP21","China","Security","industries",170.399707125503
"114","COP21","China","Security","neoliberalism",1.331247711918
"115","COP21","China","Security","nationalisation",0
"116","COP21","China","Security","nationalization",0
"117","COP21","China","Security","nationalising",0
"118","COP21","China","Security","nationalizing",0
