"","COP","country","aspect","keyword","freq"
"1","COP22","India","Accessibility","affordability",9.92708555658687
"2","COP22","India","Accessibility","affordable",104.234398344162
"3","COP22","India","Accessibility","ability to pay",0
"4","COP22","India","Accessibility","able to pay",0
"5","COP22","India","Accessibility","inability to pay",0
"6","COP22","India","Accessibility","unable to pay",0
"7","COP22","India","Accessibility","energy poverty",9.92708555658687
"8","COP22","India","Accessibility","energy burden",0
"9","COP22","India","Accessibility","fuel poverty",0
"10","COP22","India","Accessibility","fuel-poverty",0
"11","COP22","India","Accessibility","trasportation poverty",0
"12","COP22","India","Accessibility","energy prices",0
"13","COP22","India","Accessibility","transportation bills",0
"14","COP22","India","Accessibility","utility bill",0
"15","COP22","India","Accessibility","electricity bill",4.96354277829344
"16","COP22","India","Accessibility","utility bills",0
"17","COP22","India","Accessibility","electricity bills",4.96354277829344
"18","COP22","India","Accessibility","gas bill",0
"19","COP22","India","Accessibility","energy bill",9.92708555658687
"20","COP22","India","Accessibility","energy bills",9.92708555658687
"21","COP22","India","Accessibility","energy cost",14.8906283348803
"22","COP22","India","Accessibility","equity",138.979197792216
"23","COP22","India","Accessibility","inequity",0
"24","COP22","India","Accessibility","inequality",4.96354277829344
"25","COP22","India","Accessibility","inequalities",4.96354277829344
"26","COP22","India","Accessibility","energy justice",0
"27","COP22","India","Accessibility","household",19.8541711131737
"28","COP22","India","Accessibility","households",44.6718850046409
"29","COP22","India","Accessibility","low-income households",0
"30","COP22","India","Accessibility","low-income household",0
"31","COP22","India","Accessibility","energy efficiency",411.974050598355
"32","COP22","India","Accessibility","personal finance",0
"33","COP22","India","Accessibility","personal finances",0
"34","COP22","India","Accessibility","race",9.92708555658687
"35","COP22","India","Accessibility","minorities",0
"36","COP22","India","Accessibility","underserved communities",0
"37","COP22","India","Accessibility","gender",44.6718850046409
"38","COP22","India","Accessibility","women",104.234398344162
"39","COP22","India","Accessibility","social economic class",0
"40","COP22","India","Accessibility","upper class",0
"41","COP22","India","Accessibility","middle class",4.96354277829344
"42","COP22","India","Accessibility","lower class",0
"43","COP22","India","Accessibility","working class",0
"44","COP22","India","Accessibility","economic class",0
"45","COP22","India","Accessibility","upper-class",0
"46","COP22","India","Accessibility","middle-class",4.96354277829344
"47","COP22","India","Accessibility","lower-class",0
"48","COP22","India","Accessibility","working-class",0
"49","COP22","India","Accessibility","household heating",0
"50","COP22","India","Accessibility","cooling",29.7812566697606
"51","COP22","India","Accessibility","thermal comfort",0
"52","COP22","India","Accessibility","household heating problems",0
