"","COP","country","aspect","keyword","freq"
"1","COP23","UK","Accessibility","affordability",12.4158310122627
"2","COP23","UK","Accessibility","affordable",66.2177653987344
"3","COP23","UK","Accessibility","ability to pay",0
"4","COP23","UK","Accessibility","able to pay",0
"5","COP23","UK","Accessibility","inability to pay",0
"6","COP23","UK","Accessibility","unable to pay",0
"7","COP23","UK","Accessibility","energy poverty",4.1386103374209
"8","COP23","UK","Accessibility","energy burden",0
"9","COP23","UK","Accessibility","fuel poverty",0
"10","COP23","UK","Accessibility","fuel-poverty",0
"11","COP23","UK","Accessibility","trasportation poverty",0
"12","COP23","UK","Accessibility","energy prices",4.1386103374209
"13","COP23","UK","Accessibility","transportation bills",0
"14","COP23","UK","Accessibility","utility bill",0
"15","COP23","UK","Accessibility","electricity bill",4.1386103374209
"16","COP23","UK","Accessibility","utility bills",0
"17","COP23","UK","Accessibility","electricity bills",0
"18","COP23","UK","Accessibility","gas bill",0
"19","COP23","UK","Accessibility","energy bill",4.1386103374209
"20","COP23","UK","Accessibility","energy bills",0
"21","COP23","UK","Accessibility","energy cost",4.1386103374209
"22","COP23","UK","Accessibility","equity",74.4949860735762
"23","COP23","UK","Accessibility","inequity",0
"24","COP23","UK","Accessibility","inequality",8.2772206748418
"25","COP23","UK","Accessibility","inequalities",8.2772206748418
"26","COP23","UK","Accessibility","energy justice",0
"27","COP23","UK","Accessibility","household",28.9702723619463
"28","COP23","UK","Accessibility","households",70.3563757361553
"29","COP23","UK","Accessibility","low-income households",0
"30","COP23","UK","Accessibility","low-income household",0
"31","COP23","UK","Accessibility","energy efficiency",260.732451257517
"32","COP23","UK","Accessibility","personal finance",0
"33","COP23","UK","Accessibility","personal finances",0
"34","COP23","UK","Accessibility","race",24.8316620245254
"35","COP23","UK","Accessibility","minorities",0
"36","COP23","UK","Accessibility","underserved communities",0
"37","COP23","UK","Accessibility","gender",45.5247137116299
"38","COP23","UK","Accessibility","women",153.128582484573
"39","COP23","UK","Accessibility","social economic class",0
"40","COP23","UK","Accessibility","upper class",0
"41","COP23","UK","Accessibility","middle class",12.4158310122627
"42","COP23","UK","Accessibility","lower class",0
"43","COP23","UK","Accessibility","working class",0
"44","COP23","UK","Accessibility","economic class",0
"45","COP23","UK","Accessibility","upper-class",0
"46","COP23","UK","Accessibility","middle-class",4.1386103374209
