"","COP","country","aspect","keyword","freq"
"1","COP24","Canada","Accessibility","affordability",0
"2","COP24","Canada","Accessibility","affordable",13.1731478554115
"3","COP24","Canada","Accessibility","ability to pay",0
"4","COP24","Canada","Accessibility","able to pay",0
"5","COP24","Canada","Accessibility","inability to pay",0
"6","COP24","Canada","Accessibility","unable to pay",0
"7","COP24","Canada","Accessibility","energy poverty",0
"8","COP24","Canada","Accessibility","energy burden",0
"9","COP24","Canada","Accessibility","fuel poverty",0
"10","COP24","Canada","Accessibility","trasportation poverty",0
"11","COP24","Canada","Accessibility","energy prices",0
"12","COP24","Canada","Accessibility","energy bills",0
"13","COP24","Canada","Accessibility","tansportation bills",0
"14","COP24","Canada","Accessibility","utility bill",0
"15","COP24","Canada","Accessibility","electricity bill",0
"16","COP24","Canada","Accessibility","utility bills",0
"17","COP24","Canada","Accessibility","electricity bills",0
"18","COP24","Canada","Accessibility","gas bill",0
"19","COP24","Canada","Accessibility","energy billgas bill",0
"20","COP24","Canada","Accessibility","energy cost",13.1731478554115
"21","COP24","Canada","Accessibility","equity",0
"22","COP24","Canada","Accessibility","inequity",0
"23","COP24","Canada","Accessibility","inequality",0
"24","COP24","Canada","Accessibility","inequalities",0
"25","COP24","Canada","Accessibility","energy justice",0
"26","COP24","Canada","Accessibility","household",0
"27","COP24","Canada","Accessibility","households",13.1731478554115
"28","COP24","Canada","Accessibility","low-income households",0
"29","COP24","Canada","Accessibility","low-income household",0
"30","COP24","Canada","Accessibility","energy efficiency",13.1731478554115
"31","COP24","Canada","Accessibility","personal finance",0
"32","COP24","Canada","Accessibility","personal finances",0
"33","COP24","Canada","Accessibility","race",26.3462957108231
"34","COP24","Canada","Accessibility","minorities",0
"35","COP24","Canada","Accessibility","underserved communities",0
"36","COP24","Canada","Accessibility","gender",26.3462957108231
"37","COP24","Canada","Accessibility","women",105.385182843292
"38","COP24","Canada","Accessibility","social economic class",0
"39","COP24","Canada","Accessibility","upper class",0
"40","COP24","Canada","Accessibility","middle class",0
"41","COP24","Canada","Accessibility","lower class",0
"42","COP24","Canada","Accessibility","working class",13.1731478554115
"43","COP24","Canada","Accessibility","household heating",0
"44","COP24","Canada","Accessibility","cooling",26.3462957108231
"45","COP24","Canada","Accessibility","thermal comfort",0
"46","COP24","Canada","Accessibility","hosuehold heating problems",0
"47","COP24","Canada","Accessibility","household cooling probloems",0
"48","COP24","Canada","Accessibility","consumption",79.0388871324692
"49","COP24","Canada","Accessibility","consuming",13.1731478554115
"50","COP24","Canada","Accessibility","consumed",13.1731478554115
"51","COP24","Canada","Accessibility","basic needs",26.3462957108231
"52","COP24","Canada","Accessibility","basic need",26.3462957108231
"53","COP24","Canada","Security","reliability",26.3462957108231
"54","COP24","Canada","Security","reliable",0
"55","COP24","Canada","Security","resilience",26.3462957108231
"56","COP24","Canada","Security","resiliant",0
"57","COP24","Canada","Security","power outage",0
"58","COP24","Canada","Security","power outages",0
"59","COP24","Canada","Security","blackout",0
"60","COP24","Canada","Security","power cut",0
"61","COP24","Canada","Security","blackouts",0
"62","COP24","Canada","Security","power cuts",0
"63","COP24","Canada","Security","security",131.731478554115
"64","COP24","Canada","Security","stability",13.1731478554115
"65","COP24","Canada","Security","risk",158.077774264938
"66","COP24","Canada","Security","risky",13.1731478554115
"67","COP24","Canada","Security","adequacy",0
"68","COP24","Canada","Security","corruption",26.3462957108231
"69","COP24","Canada","Security","corrupted",0
