"","COP","country","aspect","keyword","freq"
"1","COP24","Hong.Kong","Accessibility","affordability",0
"2","COP24","Hong.Kong","Accessibility","affordable",0
"3","COP24","Hong.Kong","Accessibility","ability to pay",0
"4","COP24","Hong.Kong","Accessibility","able to pay",0
"5","COP24","Hong.Kong","Accessibility","inability to pay",0
"6","COP24","Hong.Kong","Accessibility","unable to pay",0
"7","COP24","Hong.Kong","Accessibility","energy poverty",0
"8","COP24","Hong.Kong","Accessibility","energy burden",0
"9","COP24","Hong.Kong","Accessibility","fuel poverty",0
"10","COP24","Hong.Kong","Accessibility","fuel-poverty",0
"11","COP24","Hong.Kong","Accessibility","trasportation poverty",0
"12","COP24","Hong.Kong","Accessibility","energy prices",0
"13","COP24","Hong.Kong","Accessibility","transportation bills",0
"14","COP24","Hong.Kong","Accessibility","utility bill",0
"15","COP24","Hong.Kong","Accessibility","electricity bill",0
"16","COP24","Hong.Kong","Accessibility","utility bills",0
"17","COP24","Hong.Kong","Accessibility","electricity bills",0
"18","COP24","Hong.Kong","Accessibility","gas bill",0
"19","COP24","Hong.Kong","Accessibility","energy bill",0
"20","COP24","Hong.Kong","Accessibility","energy bills",0
"21","COP24","Hong.Kong","Accessibility","energy cost",0
"22","COP24","Hong.Kong","Accessibility","equity",0
"23","COP24","Hong.Kong","Accessibility","inequity",0
"24","COP24","Hong.Kong","Accessibility","inequality",0
"25","COP24","Hong.Kong","Accessibility","inequalities",0
"26","COP24","Hong.Kong","Accessibility","energy justice",0
"27","COP24","Hong.Kong","Accessibility","household",0
"28","COP24","Hong.Kong","Accessibility","households",0
"29","COP24","Hong.Kong","Accessibility","low-income households",0
"30","COP24","Hong.Kong","Accessibility","low-income household",0
"31","COP24","Hong.Kong","Accessibility","energy efficiency",339.904826648538
"32","COP24","Hong.Kong","Accessibility","personal finance",0
"33","COP24","Hong.Kong","Accessibility","personal finances",0
"34","COP24","Hong.Kong","Accessibility","race",0
"35","COP24","Hong.Kong","Accessibility","minorities",0
"36","COP24","Hong.Kong","Accessibility","underserved communities",0
"37","COP24","Hong.Kong","Accessibility","gender",0
"38","COP24","Hong.Kong","Accessibility","women",0
"39","COP24","Hong.Kong","Accessibility","social economic class",0
"40","COP24","Hong.Kong","Accessibility","upper class",0
"41","COP24","Hong.Kong","Accessibility","middle class",0
"42","COP24","Hong.Kong","Accessibility","lower class",0
"43","COP24","Hong.Kong","Accessibility","working class",0
"44","COP24","Hong.Kong","Accessibility","economic class",0
"45","COP24","Hong.Kong","Accessibility","upper-class",0
"46","COP24","Hong.Kong","Accessibility","middle-class",0
"47","COP24","Hong.Kong","Accessibility","lower-class",0
"48","COP24","Hong.Kong","Accessibility","working-class",0
"49","COP24","Hong.Kong","Accessibility","household heating",0
"50","COP24","Hong.Kong","Accessibility","cooling",0
"51","COP24","Hong.Kong","Accessibility","thermal comfort",0
"52","COP24","Hong.Kong","Accessibility","household heating problems",0
"53","COP24","Hong.Kong","Accessibility","household cooling problems",0
"54","COP24","Hong.Kong","Accessibility","consumption",679.809653297077
"55","COP24","Hong.Kong","Accessibility","consuming",0
"56","COP24","Hong.Kong","Accessibility","consumed",0
"57","COP24","Hong.Kong","Accessibility","basic needs",0
"58","COP24","Hong.Kong","Accessibility","basic need",0
"59","COP24","Hong.Kong","Accessibility","reduced costs",0
"60","COP24","Hong.Kong","Accessibility","reduces costs",0
"61","COP24","Hong.Kong","Accessibility","reducing costs",0
"62","COP24","Hong.Kong","Accessibility","consumers",0
"63","COP24","Hong.Kong","Accessibility","consumer",0
"64","COP24","Hong.Kong","Accessibility","development",679.809653297077
"65","COP24","Hong.Kong","Accessibility","insurance",0
"66","COP24","Hong.Kong","Accessibility","cheap",0
"67","COP24","Hong.Kong","Accessibility","economical",0
"68","COP24","Hong.Kong","Accessibility","low cost",0
"69","COP24","Hong.Kong","Accessibility","low-cost",0
"70","COP24","Hong.Kong","Accessibility","budget",339.904826648538
"71","COP24","Hong.Kong","Accessibility","cost effective",0
"72","COP24","Hong.Kong","Accessibility","cost-effective",0
"73","COP24","Hong.Kong","Accessibility","efficiency",339.904826648538
"74","COP24","Hong.Kong","Accessibility","unequal",0
"75","COP24","Hong.Kong","Accessibility","underrepresented",0
"76","COP24","Hong.Kong","Accessibility","low income household",0
"77","COP24","Hong.Kong","Accessibility","low income households",0
"78","COP24","Hong.Kong","Accessibility","energy-efficiency",0
"79","COP24","Hong.Kong","Security","reliability",0
"80","COP24","Hong.Kong","Security","reliable",0
"81","COP24","Hong.Kong","Security","resilience",339.904826648538
"82","COP24","Hong.Kong","Security","resilient",0
"83","COP24","Hong.Kong","Security","power outage",0
"84","COP24","Hong.Kong","Security","power outages",0
"85","COP24","Hong.Kong","Security","blackout",0
"86","COP24","Hong.Kong","Security","black-out",0
"87","COP24","Hong.Kong","Security","blackouts",0
"88","COP24","Hong.Kong","Security","black-outs",0
"89","COP24","Hong.Kong","Security","power cut",0
"90","COP24","Hong.Kong","Security","power cuts",0
"91","COP24","Hong.Kong","Security","security",0
"92","COP24","Hong.Kong","Security","stability",0
"93","COP24","Hong.Kong","Security","adequacy",0
"94","COP24","Hong.Kong","Security","corruption",0
"95","COP24","Hong.Kong","Security","corrupted",0
"96","COP24","Hong.Kong","Security","geopolitics",0
"97","COP24","Hong.Kong","Security","peak hours",0
"98","COP24","Hong.Kong","Security","energy demand",0
"99","COP24","Hong.Kong","Security","nuclear",0
"100","COP24","Hong.Kong","Security","consistent",0
"101","COP24","Hong.Kong","Security","consistency",0
"102","COP24","Hong.Kong","Security","intermittancy",0
"103","COP24","Hong.Kong","Security","intermittent",0
"104","COP24","Hong.Kong","Security","war",0
"105","COP24","Hong.Kong","Security","wars",0
"106","COP24","Hong.Kong","Security","conflicts",0
"107","COP24","Hong.Kong","Security","energy crisis",0
"108","COP24","Hong.Kong","Security","energy crises",0
"109","COP24","Hong.Kong","Security","petro-politics",0
"110","COP24","Hong.Kong","Security","petropolitics",0
"111","COP24","Hong.Kong","Security","aging infrastructure",0
"112","COP24","Hong.Kong","Security","industry",0
"113","COP24","Hong.Kong","Security","industries",0
"114","COP24","Hong.Kong","Security","neoliberalism",0
"115","COP24","Hong.Kong","Security","nationalisation",0
"116","COP24","Hong.Kong","Security","nationalization",0
"117","COP24","Hong.Kong","Security","nationalising",0
"118","COP24","Hong.Kong","Security","nationalizing",0
"119","COP24","Hong.Kong","Security","certainty",0
"120","COP24","Hong.Kong","Security","agreement",2719.23861318831
"121","COP24","Hong.Kong","Security","secure",0
"122","COP24","Hong.Kong","Security","disaster",339.904826648538
"123","COP24","Hong.Kong","Security","disasters",0
"124","COP24","Hong.Kong","Security","geo-politics",0
"125","COP24","Hong.Kong","Security","geo-political",0
"126","COP24","Hong.Kong","Security","poor infrastructure",0
"127","COP24","Hong.Kong","Sustainability","sustainability",339.904826648538
"128","COP24","Hong.Kong","Sustainability","sustainable",679.809653297077
"129","COP24","Hong.Kong","Sustainability","green",679.809653297077
"130","COP24","Hong.Kong","Sustainability","greenhouse",2039.42895989123
"131","COP24","Hong.Kong","Sustainability","emissions",3738.95309313392
"132","COP24","Hong.Kong","Sustainability","emission",0
"133","COP24","Hong.Kong","Sustainability","emitting",339.904826648538
"134","COP24","Hong.Kong","Sustainability","emitted",0
"135","COP24","Hong.Kong","Sustainability","emits",0
"136","COP24","Hong.Kong","Sustainability","nuclear",0
"137","COP24","Hong.Kong","Sustainability","carbon capture",0
"138","COP24","Hong.Kong","Sustainability","CCS",0
"139","COP24","Hong.Kong","Sustainability","CCU",0
"140","COP24","Hong.Kong","Sustainability","sequester",0
"141","COP24","Hong.Kong","Sustainability","sequestering",0
"142","COP24","Hong.Kong","Sustainability","sequestration",0
"143","COP24","Hong.Kong","Sustainability","renewable energy",339.904826648538
"144","COP24","Hong.Kong","Sustainability","renewables",339.904826648538
"145","COP24","Hong.Kong","Sustainability","ecosystem",0
"146","COP24","Hong.Kong","Sustainability","ecosystems",0
"147","COP24","Hong.Kong","Sustainability","transition",339.904826648538
"148","COP24","Hong.Kong","Sustainability","transitioning",339.904826648538
"149","COP24","Hong.Kong","Sustainability","transitions",0
"150","COP24","Hong.Kong","Sustainability","low-carbon",679.809653297077
"151","COP24","Hong.Kong","Sustainability","zero carbon",0
"152","COP24","Hong.Kong","Sustainability","decarbonization",0
"153","COP24","Hong.Kong","Sustainability","subsidies",0
"154","COP24","Hong.Kong","Sustainability","subsidy",0
"155","COP24","Hong.Kong","Sustainability","subsidising",0
"156","COP24","Hong.Kong","Sustainability","subsidizing",0
"157","COP24","Hong.Kong","Sustainability","subsidise",0
"158","COP24","Hong.Kong","Sustainability","subsidize",0
"159","COP24","Hong.Kong","Sustainability","environmental health",0
"160","COP24","Hong.Kong","Sustainability","decarbonisation",339.904826648538
"161","COP24","Hong.Kong","Sustainability","decarbonize",0
"162","COP24","Hong.Kong","Sustainability","decarbonise",0
"163","COP24","Hong.Kong","Sustainability","wind",0
"164","COP24","Hong.Kong","Sustainability","tidal",0
"165","COP24","Hong.Kong","Sustainability","ocean energy",0
"166","COP24","Hong.Kong","Sustainability","hydrogen",0
"167","COP24","Hong.Kong","Sustainability","geothermal",0
"168","COP24","Hong.Kong","Sustainability","centralized",0
"169","COP24","Hong.Kong","Sustainability","decentralized",0
"170","COP24","Hong.Kong","Sustainability","centralised",0
"171","COP24","Hong.Kong","Sustainability","decentralised",0
"172","COP24","Hong.Kong","Sustainability","solar",0
"173","COP24","Hong.Kong","Sustainability","photovoltaics",0
"174","COP24","Hong.Kong","Sustainability","photovoltaic",0
"175","COP24","Hong.Kong","Sustainability","PV",0
"176","COP24","Hong.Kong","Sustainability","solar panels",0
"177","COP24","Hong.Kong","Sustainability","solar panel",0
"178","COP24","Hong.Kong","Sustainability","frack",0
"179","COP24","Hong.Kong","Sustainability","fracking",0
"180","COP24","Hong.Kong","Sustainability","fracked",0
"181","COP24","Hong.Kong","Sustainability","pollution",679.809653297077
"182","COP24","Hong.Kong","Sustainability","polluting",339.904826648538
"183","COP24","Hong.Kong","Sustainability","polluted",0
"184","COP24","Hong.Kong","Sustainability","energy storage",0
"185","COP24","Hong.Kong","Sustainability","alternative",0
"186","COP24","Hong.Kong","Sustainability","alternatives",0
"187","COP24","Hong.Kong","Sustainability","coal",0
"188","COP24","Hong.Kong","Sustainability","natural gas",0
"189","COP24","Hong.Kong","Sustainability","biomass",0
"190","COP24","Hong.Kong","Sustainability","ozone",0
"191","COP24","Hong.Kong","Sustainability","electrical vehicles",0
"192","COP24","Hong.Kong","Sustainability","EV",0
"193","COP24","Hong.Kong","Sustainability","electric vehicles",0
"194","COP24","Hong.Kong","Sustainability","net zero",0
"195","COP24","Hong.Kong","Sustainability","carbon neutrality",339.904826648538
"196","COP24","Hong.Kong","Sustainability","carbon neutral",339.904826648538
"197","COP24","Hong.Kong","Sustainability","clean energy",0
"198","COP24","Hong.Kong","Sustainability","carbon reduction",0
"199","COP24","Hong.Kong","Sustainability","sea levels",0
"200","COP24","Hong.Kong","Sustainability","paris agreement",2039.42895989123
"201","COP24","Hong.Kong","Sustainability","zero-carbon",0
"202","COP24","Hong.Kong","Sustainability","net-zero",0
"203","COP24","Hong.Kong","Sustainability","carbon-neutral",0
"204","COP24","Hong.Kong","Sustainability","carbon-neutrality",0
"205","COP24","Hong.Kong","Sustainability","clean-energy",0
"206","COP24","Hong.Kong","Sustainability","natural-gas",0
"207","COP24","Hong.Kong","Sustainability","geo-thermal",0
"208","COP24","Hong.Kong","Sustainability","bio-mass",0
"209","COP24","Hong.Kong","Sustainability","o-zone",0
"210","COP24","Hong.Kong","Sustainability","energy-storage",0
"211","COP24","Hong.Kong","Sustainability","eco-system",0
"212","COP24","Hong.Kong","Sustainability","eco-systems",0
"213","COP24","Hong.Kong","Sustainability","c02",0
"214","COP24","Hong.Kong","Sustainability","e-vehicles",0
