"","COP","country","aspect","keyword","freq"
"1","COP24","USA","Accessibility","affordability",15.7894321330733
"2","COP24","USA","Accessibility","affordable",86.8418767319033
"3","COP24","USA","Accessibility","ability to pay",0
"4","COP24","USA","Accessibility","able to pay",0
"5","COP24","USA","Accessibility","inability to pay",0
"6","COP24","USA","Accessibility","unable to pay",0
"7","COP24","USA","Accessibility","energy poverty",0
"8","COP24","USA","Accessibility","energy burden",0
"9","COP24","USA","Accessibility","fuel poverty",0
"10","COP24","USA","Accessibility","trasportation poverty",0
"11","COP24","USA","Accessibility","energy prices",0
"12","COP24","USA","Accessibility","energy bills",0
"13","COP24","USA","Accessibility","tansportation bills",0
"14","COP24","USA","Accessibility","utility bill",0
"15","COP24","USA","Accessibility","electricity bill",7.89471606653667
"16","COP24","USA","Accessibility","utility bills",0
"17","COP24","USA","Accessibility","electricity bills",7.89471606653667
"18","COP24","USA","Accessibility","gas bill",0
"19","COP24","USA","Accessibility","energy billgas bill",0
"20","COP24","USA","Accessibility","energy cost",0
"21","COP24","USA","Accessibility","equity",55.2630124657567
"22","COP24","USA","Accessibility","inequity",0
"23","COP24","USA","Accessibility","inequality",71.05244459883
"24","COP24","USA","Accessibility","inequalities",15.7894321330733
"25","COP24","USA","Accessibility","energy justice",0
"26","COP24","USA","Accessibility","household",23.68414819961
"27","COP24","USA","Accessibility","households",0
"28","COP24","USA","Accessibility","low-income households",0
"29","COP24","USA","Accessibility","low-income household",0
"30","COP24","USA","Accessibility","energy efficiency",228.946765929563
"31","COP24","USA","Accessibility","personal finance",0
"32","COP24","USA","Accessibility","personal finances",0
"33","COP24","USA","Accessibility","race",23.68414819961
"34","COP24","USA","Accessibility","minorities",0
"35","COP24","USA","Accessibility","underserved communities",0
"36","COP24","USA","Accessibility","gender",94.73659279844
"37","COP24","USA","Accessibility","women",197.367901663417
"38","COP24","USA","Accessibility","social economic class",0
"39","COP24","USA","Accessibility","upper class",0
"40","COP24","USA","Accessibility","middle class",0
"41","COP24","USA","Accessibility","lower class",0
"42","COP24","USA","Accessibility","working class",0
"43","COP24","USA","Accessibility","household heating",0
"44","COP24","USA","Accessibility","cooling",31.5788642661467
"45","COP24","USA","Accessibility","thermal comfort",0
"46","COP24","USA","Accessibility","hosuehold heating problems",0
"47","COP24","USA","Accessibility","household cooling probloems",0
"48","COP24","USA","Accessibility","consumption",110.526024931513
"49","COP24","USA","Accessibility","consuming",0
"50","COP24","USA","Accessibility","consumed",15.7894321330733
"51","COP24","USA","Accessibility","basic needs",0
"52","COP24","USA","Accessibility","basic need",0
"53","COP24","USA","Security","reliability",0
"54","COP24","USA","Security","reliable",86.8418767319033
"55","COP24","USA","Security","resilience",284.20977839532
"56","COP24","USA","Security","resiliant",0
"57","COP24","USA","Security","power outage",0
"58","COP24","USA","Security","power outages",0
"59","COP24","USA","Security","blackout",0
"60","COP24","USA","Security","power cut",0
"61","COP24","USA","Security","blackouts",7.89471606653667
"62","COP24","USA","Security","power cuts",0
"63","COP24","USA","Security","security",284.20977839532
"64","COP24","USA","Security","stability",23.68414819961
"65","COP24","USA","Security","risk",402.63051939337
"66","COP24","USA","Security","risky",0
"67","COP24","USA","Security","adequacy",0
"68","COP24","USA","Security","corruption",15.7894321330733
"69","COP24","USA","Security","corrupted",0
"70","COP24","USA","Security","geopolitics",0
"71","COP24","USA","Security","peak hours",0
