"","COP","country","aspect","keyword","freq"
"1","COP25","Ireland","Accessibility","affordability",0
"2","COP25","Ireland","Accessibility","affordable",137.048880767474
"3","COP25","Ireland","Accessibility","ability to pay",0
"4","COP25","Ireland","Accessibility","able to pay",0
"5","COP25","Ireland","Accessibility","inability to pay",0
"6","COP25","Ireland","Accessibility","unable to pay",0
"7","COP25","Ireland","Accessibility","energy poverty",0
"8","COP25","Ireland","Accessibility","energy burden",0
"9","COP25","Ireland","Accessibility","fuel poverty",0
"10","COP25","Ireland","Accessibility","trasportation poverty",0
"11","COP25","Ireland","Accessibility","energy prices",0
"12","COP25","Ireland","Accessibility","energy bills",0
"13","COP25","Ireland","Accessibility","tansportation bills",0
"14","COP25","Ireland","Accessibility","utility bill",0
"15","COP25","Ireland","Accessibility","electricity bill",0
"16","COP25","Ireland","Accessibility","utility bills",0
"17","COP25","Ireland","Accessibility","electricity bills",0
"18","COP25","Ireland","Accessibility","gas bill",0
"19","COP25","Ireland","Accessibility","energy billgas bill",0
"20","COP25","Ireland","Accessibility","energy cost",0
"21","COP25","Ireland","Accessibility","equity",45.6829602558246
"22","COP25","Ireland","Accessibility","inequity",0
"23","COP25","Ireland","Accessibility","inequality",228.414801279123
"24","COP25","Ireland","Accessibility","inequalities",45.6829602558246
"25","COP25","Ireland","Accessibility","energy justice",0
"26","COP25","Ireland","Accessibility","household",0
"27","COP25","Ireland","Accessibility","households",0
"28","COP25","Ireland","Accessibility","low-income households",0
"29","COP25","Ireland","Accessibility","low-income household",0
"30","COP25","Ireland","Accessibility","energy efficiency",45.6829602558246
"31","COP25","Ireland","Accessibility","personal finance",0
"32","COP25","Ireland","Accessibility","personal finances",0
"33","COP25","Ireland","Accessibility","race",45.6829602558246
"34","COP25","Ireland","Accessibility","minorities",0
"35","COP25","Ireland","Accessibility","underserved communities",0
"36","COP25","Ireland","Accessibility","gender",45.6829602558246
"37","COP25","Ireland","Accessibility","women",45.6829602558246
"38","COP25","Ireland","Accessibility","social economic class",0
"39","COP25","Ireland","Accessibility","upper class",0
"40","COP25","Ireland","Accessibility","middle class",0
"41","COP25","Ireland","Accessibility","lower class",0
"42","COP25","Ireland","Accessibility","working class",0
"43","COP25","Ireland","Accessibility","household heating",0
"44","COP25","Ireland","Accessibility","cooling",0
"45","COP25","Ireland","Accessibility","thermal comfort",0
"46","COP25","Ireland","Accessibility","hosuehold heating problems",0
"47","COP25","Ireland","Accessibility","household cooling probloems",0
"48","COP25","Ireland","Accessibility","consumption",137.048880767474
"49","COP25","Ireland","Accessibility","consuming",0
"50","COP25","Ireland","Accessibility","consumed",0
"51","COP25","Ireland","Accessibility","basic needs",0
"52","COP25","Ireland","Accessibility","basic need",0
"53","COP25","Ireland","Security","reliability",0
"54","COP25","Ireland","Security","reliable",45.6829602558246
"55","COP25","Ireland","Security","resilience",0
"56","COP25","Ireland","Security","resiliant",0
"57","COP25","Ireland","Security","power outage",0
"58","COP25","Ireland","Security","power outages",0
"59","COP25","Ireland","Security","blackout",0
"60","COP25","Ireland","Security","power cut",0
"61","COP25","Ireland","Security","blackouts",0
"62","COP25","Ireland","Security","power cuts",0
