"","COP","country","aspect","keyword","freq"
"1","COP25","UAE","Accessibility","affordability",0
"2","COP25","UAE","Accessibility","affordable",0
"3","COP25","UAE","Accessibility","ability to pay",0
"4","COP25","UAE","Accessibility","able to pay",0
"5","COP25","UAE","Accessibility","inability to pay",0
"6","COP25","UAE","Accessibility","unable to pay",0
"7","COP25","UAE","Accessibility","energy poverty",0
"8","COP25","UAE","Accessibility","energy burden",50.5331244630856
"9","COP25","UAE","Accessibility","fuel poverty",0
"10","COP25","UAE","Accessibility","fuel-poverty",0
"11","COP25","UAE","Accessibility","trasportation poverty",0
"12","COP25","UAE","Accessibility","energy prices",0
"13","COP25","UAE","Accessibility","transportation bills",0
"14","COP25","UAE","Accessibility","utility bill",0
"15","COP25","UAE","Accessibility","electricity bill",0
"16","COP25","UAE","Accessibility","utility bills",0
"17","COP25","UAE","Accessibility","electricity bills",0
"18","COP25","UAE","Accessibility","gas bill",0
"19","COP25","UAE","Accessibility","energy bill",50.5331244630856
"20","COP25","UAE","Accessibility","energy bills",0
"21","COP25","UAE","Accessibility","energy cost",0
"22","COP25","UAE","Accessibility","equity",50.5331244630856
"23","COP25","UAE","Accessibility","inequity",0
"24","COP25","UAE","Accessibility","inequality",50.5331244630856
"25","COP25","UAE","Accessibility","inequalities",0
"26","COP25","UAE","Accessibility","energy justice",0
"27","COP25","UAE","Accessibility","household",0
"28","COP25","UAE","Accessibility","households",0
"29","COP25","UAE","Accessibility","low-income households",0
"30","COP25","UAE","Accessibility","low-income household",0
"31","COP25","UAE","Accessibility","energy efficiency",151.599373389257
"32","COP25","UAE","Accessibility","personal finance",0
"33","COP25","UAE","Accessibility","personal finances",0
"34","COP25","UAE","Accessibility","race",0
"35","COP25","UAE","Accessibility","minorities",0
"36","COP25","UAE","Accessibility","underserved communities",0
"37","COP25","UAE","Accessibility","gender",50.5331244630856
"38","COP25","UAE","Accessibility","women",50.5331244630856
"39","COP25","UAE","Accessibility","social economic class",0
"40","COP25","UAE","Accessibility","upper class",0
"41","COP25","UAE","Accessibility","middle class",0
"42","COP25","UAE","Accessibility","lower class",0
"43","COP25","UAE","Accessibility","working class",0
"44","COP25","UAE","Accessibility","economic class",0
"45","COP25","UAE","Accessibility","upper-class",0
"46","COP25","UAE","Accessibility","middle-class",0
"47","COP25","UAE","Accessibility","lower-class",0
"48","COP25","UAE","Accessibility","working-class",0
"49","COP25","UAE","Accessibility","household heating",0
"50","COP25","UAE","Accessibility","cooling",151.599373389257
"51","COP25","UAE","Accessibility","thermal comfort",0
"52","COP25","UAE","Accessibility","household heating problems",0
"53","COP25","UAE","Accessibility","household cooling problems",0
"54","COP25","UAE","Accessibility","consumption",303.198746778513
"55","COP25","UAE","Accessibility","consuming",0
"56","COP25","UAE","Accessibility","consumed",0
"57","COP25","UAE","Accessibility","basic needs",0
"58","COP25","UAE","Accessibility","basic need",0
"59","COP25","UAE","Accessibility","reduced costs",0
"60","COP25","UAE","Accessibility","reduces costs",0
"61","COP25","UAE","Accessibility","reducing costs",0
"62","COP25","UAE","Accessibility","consumers",707.463742483198
"63","COP25","UAE","Accessibility","consumer",151.599373389257
"64","COP25","UAE","Accessibility","development",1212.79498711405
"65","COP25","UAE","Accessibility","insurance",101.066248926171
"66","COP25","UAE","Accessibility","cheap",0
"67","COP25","UAE","Accessibility","economical",0
