"","COP","country","aspect","keyword","freq"
"1","COP26","South.Africa","Accessibility","affordability",5.05796427054039
"2","COP26","South.Africa","Accessibility","affordable",80.9274283286463
"3","COP26","South.Africa","Accessibility","ability to pay",0
"4","COP26","South.Africa","Accessibility","able to pay",0
"5","COP26","South.Africa","Accessibility","inability to pay",0
"6","COP26","South.Africa","Accessibility","unable to pay",0
"7","COP26","South.Africa","Accessibility","energy poverty",20.2318570821616
"8","COP26","South.Africa","Accessibility","energy burden",0
"9","COP26","South.Africa","Accessibility","fuel poverty",0
"10","COP26","South.Africa","Accessibility","trasportation poverty",0
"11","COP26","South.Africa","Accessibility","energy prices",15.1738928116212
"12","COP26","South.Africa","Accessibility","energy bills",0
"13","COP26","South.Africa","Accessibility","tansportation bills",0
"14","COP26","South.Africa","Accessibility","utility bill",0
"15","COP26","South.Africa","Accessibility","electricity bill",20.2318570821616
"16","COP26","South.Africa","Accessibility","utility bills",0
"17","COP26","South.Africa","Accessibility","electricity bills",15.1738928116212
"18","COP26","South.Africa","Accessibility","gas bill",0
"19","COP26","South.Africa","Accessibility","energy billgas bill",0
"20","COP26","South.Africa","Accessibility","energy cost",0
"21","COP26","South.Africa","Accessibility","equity",136.565035304591
"22","COP26","South.Africa","Accessibility","inequity",10.1159285410808
"23","COP26","South.Africa","Accessibility","inequality",55.6376069759443
"24","COP26","South.Africa","Accessibility","inequalities",65.7535355170251
"25","COP26","South.Africa","Accessibility","energy justice",5.05796427054039
"26","COP26","South.Africa","Accessibility","household",25.289821352702
"27","COP26","South.Africa","Accessibility","households",60.6955712464847
"28","COP26","South.Africa","Accessibility","low-income households",5.05796427054039
"29","COP26","South.Africa","Accessibility","low-income household",5.05796427054039
"30","COP26","South.Africa","Accessibility","energy efficiency",45.5216784348635
"31","COP26","South.Africa","Accessibility","personal finance",0
"32","COP26","South.Africa","Accessibility","personal finances",0
"33","COP26","South.Africa","Accessibility","race",30.3477856232424
"34","COP26","South.Africa","Accessibility","minorities",0
"35","COP26","South.Africa","Accessibility","underserved communities",0
"36","COP26","South.Africa","Accessibility","gender",111.275213951889
"37","COP26","South.Africa","Accessibility","women",389.46324883161
"38","COP26","South.Africa","Accessibility","social economic class",0
"39","COP26","South.Africa","Accessibility","upper class",0
"40","COP26","South.Africa","Accessibility","middle class",5.05796427054039
"41","COP26","South.Africa","Accessibility","lower class",0
"42","COP26","South.Africa","Accessibility","working class",5.05796427054039
"43","COP26","South.Africa","Accessibility","household heating",0
"44","COP26","South.Africa","Accessibility","cooling",35.4057498937827
"45","COP26","South.Africa","Accessibility","thermal comfort",0
"46","COP26","South.Africa","Accessibility","hosuehold heating problems",0
"47","COP26","South.Africa","Accessibility","household cooling probloems",0
"48","COP26","South.Africa","Accessibility","consumption",161.854856657293
"49","COP26","South.Africa","Accessibility","consuming",15.1738928116212
"50","COP26","South.Africa","Accessibility","consumed",25.289821352702
"51","COP26","South.Africa","Accessibility","basic needs",5.05796427054039
"52","COP26","South.Africa","Accessibility","basic need",5.05796427054039
"53","COP26","South.Africa","Security","reliability",25.289821352702
"54","COP26","South.Africa","Security","reliable",96.1013211402675
"55","COP26","South.Africa","Security","resilience",263.0141420681
"56","COP26","South.Africa","Security","resiliant",0
"57","COP26","South.Africa","Security","power outage",15.1738928116212
"58","COP26","South.Africa","Security","power outages",5.05796427054039
"59","COP26","South.Africa","Security","blackout",20.2318570821616
"60","COP26","South.Africa","Security","power cut",25.289821352702
"61","COP26","South.Africa","Security","blackouts",50.5796427054039
"62","COP26","South.Africa","Security","power cuts",25.289821352702
"63","COP26","South.Africa","Security","security",303.477856232424
"64","COP26","South.Africa","Security","stability",50.5796427054039
"65","COP26","South.Africa","Security","risk",500.738462783499
"66","COP26","South.Africa","Security","risky",10.1159285410808
"67","COP26","South.Africa","Security","adequacy",0
"68","COP26","South.Africa","Security","corruption",70.8114997875655
"69","COP26","South.Africa","Security","corrupted",0
"70","COP26","South.Africa","Security","geopolitics",5.05796427054039
"71","COP26","South.Africa","Security","peak hours",0
"72","COP26","South.Africa","Security","enegy demand",0
"73","COP26","South.Africa","Security","nuclear",101.159285410808
"74","COP26","South.Africa","Security","consistence",0
"75","COP26","South.Africa","Security","consistency",5.05796427054039
"76","COP26","South.Africa","Security","intermittancy",0
"77","COP26","South.Africa","Security","intermittent",10.1159285410808
"78","COP26","South.Africa","Security","war",212.434499362696
"79","COP26","South.Africa","Security","wars",15.1738928116212
"80","COP26","South.Africa","Security","conflicts",30.3477856232424
"81","COP26","South.Africa","Security","energy crisis",20.2318570821616
"82","COP26","South.Africa","Security","energy crises",0
"83","COP26","South.Africa","Security","petro-politics",0
"84","COP26","South.Africa","Security","petropolitics",0
"85","COP26","South.Africa","Security","aging infrastructure",0
"86","COP26","South.Africa","Security","industry",460.274748619176
"87","COP26","South.Africa","Security","industries",202.318570821616
"88","COP26","South.Africa","Security","industrial",232.666356444858
"89","COP26","South.Africa","Security","neoliberalism",0
"90","COP26","South.Africa","Security","nationalisation",0
"91","COP26","South.Africa","Security","nationalising",0
"92","COP26","South.Africa","Security","nationalizing",0
"93","COP26","South.Africa","Sustainability","sustainability",404.637141643231
"94","COP26","South.Africa","Sustainability","sustainable",890.201711615109
"95","COP26","South.Africa","Sustainability","green",1254.37513909402
"96","COP26","South.Africa","Sustainability","greenhouse",814.332247557003
"97","COP26","South.Africa","Sustainability","carbon emissions",455.216784348635
"98","COP26","South.Africa","Sustainability","emissions",2579.5617779756
"99","COP26","South.Africa","Sustainability","emission",217.492463633237
"100","COP26","South.Africa","Sustainability","emitting",20.2318570821616
"101","COP26","South.Africa","Sustainability","emitted",25.289821352702
"102","COP26","South.Africa","Sustainability","nuclear",101.159285410808
"103","COP26","South.Africa","Sustainability","carbon capture",15.1738928116212
"104","COP26","South.Africa","Sustainability","carbon capture and storage",5.05796427054039
"105","COP26","South.Africa","Sustainability","CCS",15.1738928116212
"106","COP26","South.Africa","Sustainability","CCU",0
"107","COP26","South.Africa","Sustainability","carbon capture and usage",0
"108","COP26","South.Africa","Sustainability","sequester",20.2318570821616
"109","COP26","South.Africa","Sustainability","sequestering",10.1159285410808
"110","COP26","South.Africa","Sustainability","sequestration",0
"111","COP26","South.Africa","Sustainability","renewable energy",804.216319015923
"112","COP26","South.Africa","Sustainability","renewables",268.072106338641
"113","COP26","South.Africa","Sustainability","ecosystem",101.159285410808
"114","COP26","South.Africa","Sustainability","ecosystems",106.217249681348
"115","COP26","South.Africa","Sustainability","transition",2498.63434964695
"116","COP26","South.Africa","Sustainability","transitioning",60.6955712464847
"117","COP26","South.Africa","Sustainability","transitions",96.1013211402675
"118","COP26","South.Africa","Sustainability","low-carbon",237.724320715398
"119","COP26","South.Africa","Sustainability","zero carbon",70.8114997875655
"120","COP26","South.Africa","Sustainability","decarbonization",0
"121","COP26","South.Africa","Sustainability","subsidies",222.550427903777
"122","COP26","South.Africa","Sustainability","subsidy",20.2318570821616
"123","COP26","South.Africa","Sustainability","subsidising",10.1159285410808
"124","COP26","South.Africa","Sustainability","subsidizing",0
"125","COP26","South.Africa","Sustainability","subsidise",0
"126","COP26","South.Africa","Sustainability","subsidize",0
"127","COP26","South.Africa","Sustainability","environmental health",0
"128","COP26","South.Africa","Sustainability","decarbonisation",192.202642280535
"129","COP26","South.Africa","Sustainability","decarbonize",0
"130","COP26","South.Africa","Sustainability","decarbonise",91.0433568697271
"131","COP26","South.Africa","Sustainability","wind",313.593784773504
"132","COP26","South.Africa","Sustainability","tidal",15.1738928116212
"133","COP26","South.Africa","Sustainability","ocean energy",0
"134","COP26","South.Africa","Sustainability","hydrogen",192.202642280535
"135","COP26","South.Africa","Sustainability","geothermal",10.1159285410808
"136","COP26","South.Africa","Sustainability","centralized",0
"137","COP26","South.Africa","Sustainability","decentralized",0
"138","COP26","South.Africa","Sustainability","centralised",0
"139","COP26","South.Africa","Sustainability","decentralised",0
"140","COP26","South.Africa","Sustainability","solar",485.564569971878
"141","COP26","South.Africa","Sustainability","photovoltaics",0
"142","COP26","South.Africa","Sustainability","photovoltaic",25.289821352702
"143","COP26","South.Africa","Sustainability","PV",45.5216784348635
"144","COP26","South.Africa","Sustainability","solar panels",45.5216784348635
"145","COP26","South.Africa","Sustainability","solar panel",45.5216784348635
"146","COP26","South.Africa","Sustainability","shale gas fracking",0
"147","COP26","South.Africa","Sustainability","frack",0
"148","COP26","South.Africa","Sustainability","fracking",5.05796427054039
"149","COP26","South.Africa","Sustainability","pollution",242.782284985939
"150","COP26","South.Africa","Sustainability","polluting",91.0433568697271
"151","COP26","South.Africa","Sustainability","polluted",30.3477856232424
"152","COP26","South.Africa","Sustainability","energy storage",45.5216784348635
"153","COP26","South.Africa","Sustainability","alternative",106.217249681348
"154","COP26","South.Africa","Sustainability","alternatives",75.8694640581059
"155","COP26","South.Africa","Sustainability","coal",2493.57638537641
"156","COP26","South.Africa","Sustainability","natural gas",80.9274283286463
"157","COP26","South.Africa","Sustainability","biomass",15.1738928116212
"158","COP26","South.Africa","Sustainability","ozone",5.05796427054039
"159","COP26","South.Africa","Sustainability","Electrical vehicles",0
"160","COP26","South.Africa","Sustainability","EV",40.4637141643231
"161","COP26","South.Africa","Sustainability","electric vehicles",156.796892386752
"162","COP26","South.Africa","Sustainability","net zero",359.115463208368
"163","COP26","South.Africa","Sustainability","carbon neutrality",50.5796427054039
