"","COP","country","aspect","keyword","freq"
"1","COP27","Nigeria","Accessibility","affordability",20.5752849676968
"2","COP27","Nigeria","Accessibility","affordable",147.45620893516
"3","COP27","Nigeria","Accessibility","ability to pay",0
"4","COP27","Nigeria","Accessibility","able to pay",0
"5","COP27","Nigeria","Accessibility","inability to pay",0
"6","COP27","Nigeria","Accessibility","unable to pay",0
"7","COP27","Nigeria","Accessibility","energy poverty",233.18656296723
"8","COP27","Nigeria","Accessibility","energy burden",0
"9","COP27","Nigeria","Accessibility","fuel poverty",0
"10","COP27","Nigeria","Accessibility","fuel-poverty",0
"11","COP27","Nigeria","Accessibility","trasportation poverty",0
"12","COP27","Nigeria","Accessibility","energy prices",30.8629274515452
"13","COP27","Nigeria","Accessibility","transportation bills",0
"14","COP27","Nigeria","Accessibility","utility bill",0
"15","COP27","Nigeria","Accessibility","electricity bill",0
"16","COP27","Nigeria","Accessibility","utility bills",0
"17","COP27","Nigeria","Accessibility","electricity bills",0
"18","COP27","Nigeria","Accessibility","gas bill",0
"19","COP27","Nigeria","Accessibility","energy bill",6.8584283225656
"20","COP27","Nigeria","Accessibility","energy bills",6.8584283225656
"21","COP27","Nigeria","Accessibility","energy cost",20.5752849676968
"22","COP27","Nigeria","Accessibility","equity",72.0134973869388
"23","COP27","Nigeria","Accessibility","inequity",6.8584283225656
"24","COP27","Nigeria","Accessibility","inequality",51.438212419242
"25","COP27","Nigeria","Accessibility","inequalities",37.7213557741108
"26","COP27","Nigeria","Accessibility","energy justice",3.4292141612828
"27","COP27","Nigeria","Accessibility","household",51.438212419242
"28","COP27","Nigeria","Accessibility","households",51.438212419242
"29","COP27","Nigeria","Accessibility","low-income households",0
"30","COP27","Nigeria","Accessibility","low-income household",0
"31","COP27","Nigeria","Accessibility","energy efficiency",72.0134973869388
"32","COP27","Nigeria","Accessibility","personal finance",0
"33","COP27","Nigeria","Accessibility","personal finances",0
"34","COP27","Nigeria","Accessibility","race",27.4337132902624
"35","COP27","Nigeria","Accessibility","minorities",3.4292141612828
"36","COP27","Nigeria","Accessibility","underserved communities",3.4292141612828
"37","COP27","Nigeria","Accessibility","gender",216.040492160816
"38","COP27","Nigeria","Accessibility","women",545.245051643965
"39","COP27","Nigeria","Accessibility","social economic class",0
"40","COP27","Nigeria","Accessibility","upper class",0
"41","COP27","Nigeria","Accessibility","middle class",6.8584283225656
"42","COP27","Nigeria","Accessibility","lower class",0
"43","COP27","Nigeria","Accessibility","working class",0
"44","COP27","Nigeria","Accessibility","economic class",0
"45","COP27","Nigeria","Accessibility","upper-class",0
"46","COP27","Nigeria","Accessibility","middle-class",0
"47","COP27","Nigeria","Accessibility","lower-class",0
"48","COP27","Nigeria","Accessibility","working-class",0
"49","COP27","Nigeria","Accessibility","household heating",0
"50","COP27","Nigeria","Accessibility","cooling",10.2876424838484
"51","COP27","Nigeria","Accessibility","thermal comfort",0
"52","COP27","Nigeria","Accessibility","household heating problems",0
"53","COP27","Nigeria","Accessibility","household cooling problems",0
"54","COP27","Nigeria","Accessibility","consumption",116.593281483615
"55","COP27","Nigeria","Accessibility","consuming",3.4292141612828
"56","COP27","Nigeria","Accessibility","consumed",27.4337132902624
"57","COP27","Nigeria","Accessibility","basic needs",3.4292141612828
"58","COP27","Nigeria","Accessibility","basic need",3.4292141612828
"59","COP27","Nigeria","Accessibility","reduced costs",0
"60","COP27","Nigeria","Accessibility","reduces costs",0
"61","COP27","Nigeria","Accessibility","reducing costs",0
"62","COP27","Nigeria","Accessibility","consumers",41.1505699353936
"63","COP27","Nigeria","Accessibility","consumer",13.7168566451312
"64","COP27","Nigeria","Accessibility","development",3048.57138938041
"65","COP27","Nigeria","Accessibility","insurance",92.5887823546356
"66","COP27","Nigeria","Accessibility","cheap",30.8629274515452
"67","COP27","Nigeria","Accessibility","economical",3.4292141612828
"68","COP27","Nigeria","Accessibility","low cost",0
"69","COP27","Nigeria","Accessibility","low-cost",17.146070806414
"70","COP27","Nigeria","Accessibility","budget",85.73035403207
"71","COP27","Nigeria","Accessibility","cost effective",3.4292141612828
"72","COP27","Nigeria","Accessibility","cost-effective",0
"73","COP27","Nigeria","Accessibility","efficiency",89.1595681933528
"74","COP27","Nigeria","Accessibility","unequal",10.2876424838484
"75","COP27","Nigeria","Accessibility","underrepresented",6.8584283225656
"76","COP27","Nigeria","Accessibility","low income household",0
"77","COP27","Nigeria","Accessibility","low income households",0
"78","COP27","Nigeria","Accessibility","energy-efficiency",0
"79","COP27","Nigeria","Security","reliability",0
"80","COP27","Nigeria","Security","reliable",96.0179965159184
"81","COP27","Nigeria","Security","resilience",620.687763192187
"82","COP27","Nigeria","Security","resilient",294.912417870321
"83","COP27","Nigeria","Security","power outage",6.8584283225656
"84","COP27","Nigeria","Security","power outages",6.8584283225656
"85","COP27","Nigeria","Security","blackout",0
"86","COP27","Nigeria","Security","black-out",0
"87","COP27","Nigeria","Security","blackouts",0
"88","COP27","Nigeria","Security","black-outs",0
"89","COP27","Nigeria","Security","power cut",0
"90","COP27","Nigeria","Security","power cuts",0
"91","COP27","Nigeria","Security","security",661.83833312758
"92","COP27","Nigeria","Security","stability",34.292141612828
"93","COP27","Nigeria","Security","adequacy",0
"94","COP27","Nigeria","Security","corruption",27.4337132902624
"95","COP27","Nigeria","Security","corrupted",3.4292141612828
"96","COP27","Nigeria","Security","geopolitics",17.146070806414
"97","COP27","Nigeria","Security","peak hours",0
"98","COP27","Nigeria","Security","energy demand",24.0044991289796
"99","COP27","Nigeria","Security","nuclear",113.164067322332
"100","COP27","Nigeria","Security","consistent",37.7213557741108
"101","COP27","Nigeria","Security","consistency",0
"102","COP27","Nigeria","Security","intermittancy",0
"103","COP27","Nigeria","Security","intermittent",3.4292141612828
"104","COP27","Nigeria","Security","war",281.19556122519
"105","COP27","Nigeria","Security","wars",0
"106","COP27","Nigeria","Security","conflicts",96.0179965159184
"107","COP27","Nigeria","Security","energy crisis",78.8719257095044
"108","COP27","Nigeria","Security","energy crises",6.8584283225656
"109","COP27","Nigeria","Security","petro-politics",0
"110","COP27","Nigeria","Security","petropolitics",0
"111","COP27","Nigeria","Security","aging infrastructure",0
"112","COP27","Nigeria","Security","industry",579.537193256793
"113","COP27","Nigeria","Security","industries",123.451709806181
"114","COP27","Nigeria","Security","neoliberalism",0
"115","COP27","Nigeria","Security","nationalisation",0
"116","COP27","Nigeria","Security","nationalization",0
"117","COP27","Nigeria","Security","nationalising",0
"118","COP27","Nigeria","Security","nationalizing",0
"119","COP27","Nigeria","Security","certainty",6.8584283225656
"120","COP27","Nigeria","Security","agreement",750.997901320933
"121","COP27","Nigeria","Security","secure",161.173065580292
"122","COP27","Nigeria","Security","disaster",257.19106209621
"123","COP27","Nigeria","Security","disasters",305.200060354169
"124","COP27","Nigeria","Security","geo-politics",0
"125","COP27","Nigeria","Security","geo-political",0
"126","COP27","Nigeria","Security","poor infrastructure",0
"127","COP27","Nigeria","Sustainability","sustainability",332.633773644432
"128","COP27","Nigeria","Sustainability","sustainable",1186.50809980385
"129","COP27","Nigeria","Sustainability","green",922.458609385073
"130","COP27","Nigeria","Sustainability","greenhouse",493.806839224723
"131","COP27","Nigeria","Sustainability","emissions",1731.75315144781
"132","COP27","Nigeria","Sustainability","emission",264.049490418776
"133","COP27","Nigeria","Sustainability","emitting",10.2876424838484
"134","COP27","Nigeria","Sustainability","emitted",17.146070806414
"135","COP27","Nigeria","Sustainability","emits",27.4337132902624
"136","COP27","Nigeria","Sustainability","nuclear",113.164067322332
"137","COP27","Nigeria","Sustainability","carbon capture",13.7168566451312
"138","COP27","Nigeria","Sustainability","CCS",0
"139","COP27","Nigeria","Sustainability","CCU",0
"140","COP27","Nigeria","Sustainability","sequester",0
"141","COP27","Nigeria","Sustainability","sequestering",10.2876424838484
"142","COP27","Nigeria","Sustainability","sequestration",3.4292141612828
"143","COP27","Nigeria","Sustainability","renewable energy",699.559688901691
"144","COP27","Nigeria","Sustainability","renewables",305.200060354169
"145","COP27","Nigeria","Sustainability","ecosystem",109.73485316105
"146","COP27","Nigeria","Sustainability","ecosystems",102.876424838484
"147","COP27","Nigeria","Sustainability","transition",2122.68356583405
"148","COP27","Nigeria","Sustainability","transitioning",65.1550690643732
"149","COP27","Nigeria","Sustainability","transitions",89.1595681933528
"150","COP27","Nigeria","Sustainability","low-carbon",133.739352290029
"151","COP27","Nigeria","Sustainability","zero carbon",54.8674265805248
"152","COP27","Nigeria","Sustainability","decarbonization",58.2966407418076
"153","COP27","Nigeria","Sustainability","subsidies",37.7213557741108
"154","COP27","Nigeria","Sustainability","subsidy",10.2876424838484
"155","COP27","Nigeria","Sustainability","subsidising",3.4292141612828
"156","COP27","Nigeria","Sustainability","subsidizing",0
"157","COP27","Nigeria","Sustainability","subsidise",3.4292141612828
"158","COP27","Nigeria","Sustainability","subsidize",0
"159","COP27","Nigeria","Sustainability","environmental health",0
"160","COP27","Nigeria","Sustainability","decarbonisation",68.584283225656
"161","COP27","Nigeria","Sustainability","decarbonize",20.5752849676968
"162","COP27","Nigeria","Sustainability","decarbonise",17.146070806414
"163","COP27","Nigeria","Sustainability","wind",89.1595681933528
"164","COP27","Nigeria","Sustainability","tidal",10.2876424838484
"165","COP27","Nigeria","Sustainability","ocean energy",0
"166","COP27","Nigeria","Sustainability","hydrogen",205.752849676968
"167","COP27","Nigeria","Sustainability","geothermal",17.146070806414
"168","COP27","Nigeria","Sustainability","centralized",0
"169","COP27","Nigeria","Sustainability","decentralized",10.2876424838484
"170","COP27","Nigeria","Sustainability","centralised",3.4292141612828
"171","COP27","Nigeria","Sustainability","decentralised",10.2876424838484
"172","COP27","Nigeria","Sustainability","solar",246.903419612362
"173","COP27","Nigeria","Sustainability","photovoltaics",0
"174","COP27","Nigeria","Sustainability","photovoltaic",0
"175","COP27","Nigeria","Sustainability","PV",6.8584283225656
"176","COP27","Nigeria","Sustainability","solar panels",20.5752849676968
"177","COP27","Nigeria","Sustainability","solar panel",20.5752849676968
"178","COP27","Nigeria","Sustainability","frack",0
"179","COP27","Nigeria","Sustainability","fracking",0
"180","COP27","Nigeria","Sustainability","fracked",0
"181","COP27","Nigeria","Sustainability","pollution",270.907918741341
"182","COP27","Nigeria","Sustainability","polluting",65.1550690643732
"183","COP27","Nigeria","Sustainability","polluted",27.4337132902624
"184","COP27","Nigeria","Sustainability","energy storage",3.4292141612828
"185","COP27","Nigeria","Sustainability","alternative",123.451709806181
"186","COP27","Nigeria","Sustainability","alternatives",17.146070806414
"187","COP27","Nigeria","Sustainability","coal",246.903419612362
"188","COP27","Nigeria","Sustainability","natural gas",233.18656296723
"189","COP27","Nigeria","Sustainability","biomass",30.8629274515452
"190","COP27","Nigeria","Sustainability","ozone",3.4292141612828
"191","COP27","Nigeria","Sustainability","electrical vehicles",0
"192","COP27","Nigeria","Sustainability","EV",72.0134973869388
"193","COP27","Nigeria","Sustainability","electric vehicles",58.2966407418076
"194","COP27","Nigeria","Sustainability","net zero",270.907918741341
"195","COP27","Nigeria","Sustainability","carbon neutrality",10.2876424838484
"196","COP27","Nigeria","Sustainability","carbon neutral",17.146070806414
"197","COP27","Nigeria","Sustainability","clean energy",353.209058612128
"198","COP27","Nigeria","Sustainability","carbon reduction",17.146070806414
"199","COP27","Nigeria","Sustainability","sea levels",37.7213557741108
"200","COP27","Nigeria","Sustainability","paris agreement",425.222555999067
"201","COP27","Nigeria","Sustainability","zero-carbon",13.7168566451312
"202","COP27","Nigeria","Sustainability","net-zero",370.355129418542
"203","COP27","Nigeria","Sustainability","carbon-neutral",6.8584283225656
"204","COP27","Nigeria","Sustainability","carbon-neutrality",0
"205","COP27","Nigeria","Sustainability","clean-energy",17.146070806414
"206","COP27","Nigeria","Sustainability","natural-gas",0
"207","COP27","Nigeria","Sustainability","geo-thermal",0
"208","COP27","Nigeria","Sustainability","bio-mass",0
"209","COP27","Nigeria","Sustainability","o-zone",0
"210","COP27","Nigeria","Sustainability","energy-storage",0
"211","COP27","Nigeria","Sustainability","eco-system",3.4292141612828
"212","COP27","Nigeria","Sustainability","eco-systems",0
"213","COP27","Nigeria","Sustainability","c02",3.4292141612828
"214","COP27","Nigeria","Sustainability","e-vehicles",0
"215","COP27","Nigeria","Sustainability","EVs",48.0089982579592
"216","COP27","Nigeria","Sustainability","PVs",0
"217","COP27","Nigeria","Sustainability","re-newables",0
"218","COP27","Nigeria","Sustainability","pollutant",0
